density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
High,architecture_A,100,1,0.00359243172446635,12.69281865475925
High,architecture_A,100,2,0.006356932713418816,9.655668965486708
High,architecture_A,100,3,0.007024431209909834,6.916403744357351
High,architecture_A,100,4,0.007533523098879401,11.09538188236885
High,architecture_A,100,5,0.00936825347321605,66.15199161718441
High,architecture_A,100,6,0.007126150856848834,71.89475367098761
High,architecture_A,100,7,0.005704480019421033,124.8856615421201
High,architecture_A,100,8,0.002318989202038917,146.42867057840613
High,architecture_A,100,9,0.0005472169411041266,174.0613026478941
High,architecture_A,100,10,0.0004906193280079513,204.70871721166498
High,architecture_B,100,1,0.003590143873217167,22.793953360745405
High,architecture_B,100,2,0.006356600640578683,11.762708694937482
High,architecture_B,100,3,0.006992816043781983,20.177591914530897
High,architecture_B,100,4,0.007579006427400067,28.96529783424374
High,architecture_B,100,5,0.009362152643364983,45.78608275231747
High,architecture_B,100,6,0.007120633264926317,49.29217108151011
High,architecture_B,100,7,0.0057117495425165,136.45875218536167
High,architecture_B,100,8,0.0023094617451465166,140.82044982515825
High,architecture_B,100,9,0.0005587818683894097,217.88221377806192
High,architecture_B,100,10,0.0004906193280079513,225.8044723108496
High,architecture_C,100,1,0.0035898897113000668,9.15979257752259
High,architecture_C,100,2,0.0063340067545422,5.397981717588006
High,architecture_C,100,3,0.007011304009104266,15.755950497992432
High,architecture_C,100,4,0.007542554589085717,16.02937345925228
High,architecture_C,100,5,0.009358104426018083,26.029663109660635
High,architecture_C,100,6,0.007115599697631183,89.51146771410843
High,architecture_C,100,7,0.005714334727583517,110.4684990603252
High,architecture_C,100,8,0.002351466900333367,172.51050001464696
High,architecture_C,100,9,0.0005628826508078062,213.37871078174342
High,architecture_C,100,10,0.0004906193280079513,249.84496998625403
High,architecture_D,100,1,0.00359882957793835,20.199401892627197
High,architecture_D,100,2,0.006357895329854366,6.224985020478294
High,architecture_D,100,3,0.0070222331868438495,22.925340266476876
High,architecture_D,100,4,0.007578550175088051,21.752078520057083
High,architecture_D,100,5,0.009358915714550416,53.19177798764036
High,architecture_D,100,6,0.007131269220684383,84.35715804870692
High,architecture_D,100,7,0.005752870735235433,149.7668808358472
High,architecture_D,100,8,0.0023193004353811,189.26623930045898
High,architecture_D,100,9,0.00054349238844597,211.88289949626957
High,architecture_D,100,10,0.0004906193280079513,259.99182357543464
High,architecture_E,100,1,0.003598673830974383,16.040429026908004
High,architecture_E,100,2,0.006346236009525233,6.507412272553893
High,architecture_E,100,3,0.00702591566976965,11.610284216153993
High,architecture_E,100,4,0.007550137776184033,22.396958393782104
High,architecture_E,100,5,0.009378110880457617,57.00714564736842
High,architecture_E,100,6,0.0071424336913447324,96.66569695708756
High,architecture_E,100,7,0.005706058837139417,125.60371589747774
High,architecture_E,100,8,0.0023051291608509,120.13702725463732
High,architecture_E,100,9,0.0005392597863836189,162.05492086523415
High,architecture_E,100,10,0.0004906193280079513,231.68195562529948
High,architecture_F,100,1,0.003602517092631883,11.950255877005736
High,architecture_F,100,2,0.006355653455934016,9.201766731784607
High,architecture_F,100,3,0.00703025412252465,12.032661363784179
High,architecture_F,100,4,0.00758839197650325,29.453180413638005
High,architecture_F,100,5,0.009369146958256283,46.16712938931846
High,architecture_F,100,6,0.007109127100172517,69.3979843654216
High,architecture_F,100,7,0.00572262389670775,124.07734824142506
High,architecture_F,100,8,0.00233344090382265,153.69665087456374
High,architecture_F,100,9,0.0005442420755547168,173.3168658740368
High,architecture_F,100,10,0.0004906193280079513,229.60695354365316
High,architecture_G,100,1,0.0035916590292272167,17.04798036592199
High,architecture_G,100,2,0.006337915682435084,10.327390645301799
High,architecture_G,100,3,0.007015810937305934,18.26281634618053
High,architecture_G,100,4,0.007575005623418883,35.461053094733806
High,architecture_G,100,5,0.00937211821003405,77.94767554022708
High,architecture_G,100,6,0.007118404356890317,83.5851994323353
High,architecture_G,100,7,0.005685838226764499,121.7185878241903
High,architecture_G,100,8,0.00231480913077465,107.82430229089691
High,architecture_G,100,9,0.0005484468256504554,172.87799635277943
High,architecture_G,100,10,0.0004906193280079513,216.08513005532077
High,architecture_H,100,1,0.0035931796214556003,24.731771771642485
High,architecture_H,100,2,0.006343225520922083,21.265613341453548
High,architecture_H,100,3,0.0070232801316691,23.946511537652658
High,architecture_H,100,4,0.0075640721846082825,40.863627166912245
High,architecture_H,100,5,0.009356599287819817,55.84113947027779
High,architecture_H,100,6,0.00713046450241235,85.50721763137032
High,architecture_H,100,7,0.005721187772813583,130.34577252592604
High,architecture_H,100,8,0.00230686590302965,110.33402269773774
High,architecture_H,100,9,0.0005504283195195224,145.3915677836472
High,architecture_H,100,10,0.0004906193280079513,171.59719695597315
High,architecture_I,100,1,0.0035934373551411002,27.144265050956687
High,architecture_I,100,2,0.0063484048632169165,18.60040760015978
High,architecture_I,100,3,0.007012587768614066,26.958289660956297
High,architecture_I,100,4,0.0075657599573498505,37.97651664803299
High,architecture_I,100,5,0.009371915579059316,52.74804690713233
High,architecture_I,100,6,0.00714009360246125,89.83817388688199
High,architecture_I,100,7,0.005682218370208983,99.80800535185635
High,architecture_I,100,8,0.0023354423105688,117.90503758188082
High,architecture_I,100,9,0.0005535994669613413,128.93402695765238
High,architecture_I,100,10,0.0004906193280079513,152.70042924182576
High,control,100,1,0.0036027421124984835,9.602486251076128
High,control,100,2,0.006339534478441017,8.396545807196036
High,control,100,3,0.007030250936804833,13.035556302821632
High,control,100,4,0.007557615828335334,28.345112002423775
High,control,100,5,0.009375525969888117,70.11000158888707
High,control,100,6,0.007125965492557666,82.98767938031051
High,control,100,7,0.005683773778499134,104.93113057716245
High,control,100,8,0.0022761521593508,130.6046704567823
High,control,100,9,0.0005467382983138431,166.2970578534951
High,control,100,10,0.0004906193280079513,205.37911270473137
High,architecture_A,10,1,0.0035923205592365503,10.010093011206317
High,architecture_A,10,2,0.006355312681826333,6.171863877876654
High,architecture_A,10,3,0.007007954001214601,5.522707930591504
High,architecture_A,10,4,0.00756851227532515,14.707694510873884
High,architecture_A,10,5,0.009366519593231367,45.26779246621489
High,architecture_A,10,6,0.007138612858992817,85.05443024805886
High,architecture_A,10,7,0.0056918606739860675,120.30687065911519
High,architecture_A,10,8,0.0023468467007891,131.48408436057696
High,architecture_A,10,9,0.0005460976148657521,165.99712163289198
High,architecture_A,10,10,0.0004906193280079513,193.2357481348496
High,architecture_B,10,1,0.0036059006607817167,11.408139277806834
High,architecture_B,10,2,0.006346262344796583,6.045909528751448
High,architecture_B,10,3,0.00700207053297885,10.023391497634002
High,architecture_B,10,4,0.007560623815644284,31.124651664587294
High,architecture_B,10,5,0.009355275301637466,49.908537861428975
High,architecture_B,10,6,0.007127954770969666,62.51119802419576
High,architecture_B,10,7,0.0056817967294482,117.51227400525177
High,architecture_B,10,8,0.002292724147485317,111.43507868978385
High,architecture_B,10,9,0.0005396039579357887,150.65010586045324
High,architecture_B,10,10,0.0004906193280079513,243.25752896788984
High,architecture_C,10,1,0.0035983277891475335,9.315273187000164
High,architecture_C,10,2,0.006365938274293051,8.998435621412012
High,architecture_C,10,3,0.00702869344946865,7.440072128021611
High,architecture_C,10,4,0.007577919240596383,15.483983844357553
High,architecture_C,10,5,0.009362450161243317,23.756378739754798
High,architecture_C,10,6,0.0071230986545290165,70.93099301084958
High,architecture_C,10,7,0.005692480317522334,127.60127212202565
High,architecture_C,10,8,0.0023456716402936667,167.25367346803037
High,architecture_C,10,9,0.0005645416301542388,167.60405781905172
High,architecture_C,10,10,0.0004906193280079513,241.5477421485376
High,architecture_D,10,1,0.003594949481358483,9.249996080754586
High,architecture_D,10,2,0.006351509600337817,5.147565509125182
High,architecture_D,10,3,0.007022112807842117,12.300766630594408
High,architecture_D,10,4,0.007559724990420316,21.902101783950258
High,architecture_D,10,5,0.009366551720417083,36.95953440007139
High,architecture_D,10,6,0.007121178605545217,96.13203284618794
High,architecture_D,10,7,0.005681158343167451,162.79930214865757
High,architecture_D,10,8,0.0022944340866655833,144.7422525571362
High,architecture_D,10,9,0.000538951228528119,210.39604408906646
High,architecture_D,10,10,0.0004906193280079513,241.30361278694136
High,architecture_E,10,1,0.0035945717005479,8.533965859623088
High,architecture_E,10,2,0.006353143917788066,6.638959515474198
High,architecture_E,10,3,0.007018186533346867,6.643694861642284
High,architecture_E,10,4,0.007572493668599366,33.9267979584077
High,architecture_E,10,5,0.009360220414981383,40.815591212220305
High,architecture_E,10,6,0.0071155205076013335,75.83540389040638
High,architecture_E,10,7,0.0057206755906428495,127.50773716323094
High,architecture_E,10,8,0.0023238484389042167,143.38949528154384
High,architecture_E,10,9,0.0005475173562387013,188.25146040296178
High,architecture_E,10,10,0.0004906193280079513,244.67282189057616
High,architecture_F,10,1,0.00359267172772625,23.966576254784297
High,architecture_F,10,2,0.006351902608131717,11.723428228782979
High,architecture_F,10,3,0.007001341987379867,16.577729076614034
High,architecture_F,10,4,0.007537609181757817,14.002569847779668
High,architecture_F,10,5,0.009360919440868766,44.52719612014173
High,architecture_F,10,6,0.007137334327178917,75.33880648765582
High,architecture_F,10,7,0.005714082432660383,124.99900824671795
High,architecture_F,10,8,0.0022591756530096836,106.86782562018884
High,architecture_F,10,9,0.0005558983441220122,127.61408912726267
High,architecture_F,10,10,0.0004906193280079513,219.74266713810925
High,architecture_G,10,1,0.003595037971981917,18.939348507068207
High,architecture_G,10,2,0.0063609799764689995,13.300351497830986
High,architecture_G,10,3,0.007019596805557751,18.6129584739625
High,architecture_G,10,4,0.00755518742493675,25.867741045686127
High,architecture_G,10,5,0.009371864361213867,62.15383485442876
High,architecture_G,10,6,0.0071447892019979,92.84990576617133
High,architecture_G,10,7,0.005684315769220183,128.91720459948158
High,architecture_G,10,8,0.002316942860121817,134.46878420348068
High,architecture_G,10,9,0.0005545530206212959,147.6837983833029
High,architecture_G,10,10,0.0004906193280079513,209.18580622467505
High,architecture_H,10,1,0.003593186993633417,25.775709733129144
High,architecture_H,10,2,0.0063498299133897505,13.242611573109095
High,architecture_H,10,3,0.0070294995538739,34.085304914382256
High,architecture_H,10,4,0.007569085703860117,37.40954930683113
High,architecture_H,10,5,0.009359306023670667,56.93721777068786
High,architecture_H,10,6,0.007131818235067567,87.985663041563
High,architecture_H,10,7,0.005688546800729333,100.16488438535511
High,architecture_H,10,8,0.0023262215257919667,101.7356517839093
High,architecture_H,10,9,0.0005446232537215102,150.72176293041557
High,architecture_H,10,10,0.0004906193280079513,162.03246575940213
High,architecture_I,10,1,0.0036001730049628334,25.21228544966956
High,architecture_I,10,2,0.006368869411509184,24.31943617379001
High,architecture_I,10,3,0.007032833598295734,16.26294080843546
High,architecture_I,10,4,0.00757515641309755,43.7025886763491
High,architecture_I,10,5,0.009365100880624018,62.56100696036521
High,architecture_I,10,6,0.007117301315352983,76.12988395478209
High,architecture_I,10,7,0.005686174197880817,103.48934025478627
High,architecture_I,10,8,0.0023614804836949834,117.46807643798722
High,architecture_I,10,9,0.0005508343451947444,107.55749957540127
High,architecture_I,10,10,0.0004906193280079513,140.8424787283489
High,control,10,1,0.0035990839066020832,11.664102248961433
High,control,10,2,0.006364019131331216,6.373171743974588
High,control,10,3,0.007039058979857033,9.35280016275326
High,control,10,4,0.0075630178652401495,18.610913592597154
High,control,10,5,0.00937314416228925,64.32529986897042
High,control,10,6,0.007120426742474266,100.01423078333221
High,control,10,7,0.005708153375046084,91.18578356308278
High,control,10,8,0.0023438503311066666,129.83400302025197
High,control,10,9,0.0005451147159595433,170.54297211251753
High,control,10,10,0.0004906193280079513,215.40573051396802
High,architecture_A,11,1,0.0036014815090149835,16.98954303126023
High,architecture_A,11,2,0.006362804566091617,8.31028954098826
High,architecture_A,11,3,0.0070177399873512505,11.702086060384486
High,architecture_A,11,4,0.007569463771557784,17.00689258615525
High,architecture_A,11,5,0.009370043464070067,38.44447273774542
High,architecture_A,11,6,0.007146389757185984,81.54282641389538
High,architecture_A,11,7,0.0056863324865175,156.76002292662903
High,architecture_A,11,8,0.0023247287175960168,153.39285952063437
High,architecture_A,11,9,0.0005485403243891424,192.04143363957976
High,architecture_A,11,10,0.0004906193280079513,202.64989845285007
High,architecture_B,11,1,0.0035975622063373,11.943248026936894
High,architecture_B,11,2,0.006357846845309267,13.844177364919608
High,architecture_B,11,3,0.0070440171454626,11.882943604397331
High,architecture_B,11,4,0.0075820846313742,26.285782146457077
High,architecture_B,11,5,0.009365548213138933,30.09039341471662
High,architecture_B,11,6,0.00713019572078855,65.30169240618356
High,architecture_B,11,7,0.005732301567752534,110.0246644370332
High,architecture_B,11,8,0.0023705649573046166,144.0620211193156
High,architecture_B,11,9,0.0005309919291358651,178.16431643077235
High,architecture_B,11,10,0.0004906193280079513,256.98939543607855
High,architecture_C,11,1,0.0035939435355283166,12.249308167201448
High,architecture_C,11,2,0.0063588381443045175,9.277577663288726
High,architecture_C,11,3,0.007013674558711366,15.543830358009501
High,architecture_C,11,4,0.007577243749128967,13.381665213674438
High,architecture_C,11,5,0.0093773846361416,52.5762350664813
High,architecture_C,11,6,0.007137386551531566,36.86498471201698
High,architecture_C,11,7,0.0057153320971527,124.48151912347303
High,architecture_C,11,8,0.0023128110825298333,188.83322479091999
High,architecture_C,11,9,0.0005479168871702743,232.81751654534764
High,architecture_C,11,10,0.0004906193280079513,256.10952458495655
High,architecture_D,11,1,0.0035922919294178336,11.445811984696107
High,architecture_D,11,2,0.0063561205434965,4.655167636057853
High,architecture_D,11,3,0.007012689080844784,12.861299550692095
High,architecture_D,11,4,0.0075734068199632505,12.4450984991633
High,architecture_D,11,5,0.009357121246028867,36.84850907339448
High,architecture_D,11,6,0.00713146364259805,71.93429590584942
High,architecture_D,11,7,0.005672324011009733,136.46611227379657
High,architecture_D,11,8,0.0023444489770532,149.13452746112657
High,architecture_D,11,9,0.0005603388936847299,214.29124192155686
High,architecture_D,11,10,0.0004906193280079513,261.2308657775424
High,architecture_E,11,1,0.003595307913320117,8.929211703264329
High,architecture_E,11,2,0.006349401965230583,10.669448060996283
High,architecture_E,11,3,0.0070113498264123,7.400997812202952
High,architecture_E,11,4,0.007566689770776083,18.356405872742346
High,architecture_E,11,5,0.009352713455932934,36.43919591964106
High,architecture_E,11,6,0.007133258406324584,103.13195172483331
High,architecture_E,11,7,0.00571857807259825,116.27428770489401
High,architecture_E,11,8,0.0023108878536166333,154.17432737598185
High,architecture_E,11,9,0.0005434302421873029,147.66915243301477
High,architecture_E,11,10,0.0004906193280079513,234.79479741464377
High,architecture_F,11,1,0.003592826722564483,14.611238047346506
High,architecture_F,11,2,0.00636138393012495,9.271632154499462
High,architecture_F,11,3,0.007011669881895899,19.91068849726855
High,architecture_F,11,4,0.007562582697216467,19.684494650392512
High,architecture_F,11,5,0.009361224123644433,58.53173116351767
High,architecture_F,11,6,0.007131004174672749,68.13895182729541
High,architecture_F,11,7,0.0056866072142211675,124.31667466025824
High,architecture_F,11,8,0.0023129922576312334,139.8086518173056
High,architecture_F,11,9,0.0005522621896553403,181.06165768331758
High,architecture_F,11,10,0.0004906193280079513,234.59370018161863
High,architecture_G,11,1,0.003592138038079283,19.760146430301678
High,architecture_G,11,2,0.0063355875945693835,16.41181000482626
High,architecture_G,11,3,0.0070127914201134995,18.01924423976303
High,architecture_G,11,4,0.007593384856809617,28.83606777533235
High,architecture_G,11,5,0.009359372077919717,73.11336976463669
High,architecture_G,11,6,0.007135784490347584,79.17370508683886
High,architecture_G,11,7,0.005708934589960017,121.83442547999663
High,architecture_G,11,8,0.00233956102071345,136.18977643251517
High,architecture_G,11,9,0.000559906005596357,113.43115622658917
High,architecture_G,11,10,0.0004906193280079513,176.77080854627297
High,architecture_H,11,1,0.0035909504056227336,21.422545058313684
High,architecture_H,11,2,0.006348938454022749,16.13525468832802
High,architecture_H,11,3,0.007061457338623417,23.11611866232255
High,architecture_H,11,4,0.007557957755185783,29.892503744360344
High,architecture_H,11,5,0.009376995415758484,70.94007752114672
High,architecture_H,11,6,0.007126115340701816,75.9289717849956
High,architecture_H,11,7,0.0056887134919783,117.89632712979113
High,architecture_H,11,8,0.00230237450574625,118.41524153335973
High,architecture_H,11,9,0.0005448646235818117,164.89592082790065
High,architecture_H,11,10,0.0004906193280079513,184.1384244242591
High,architecture_I,11,1,0.0035900175655927996,28.700428453934062
High,architecture_I,11,2,0.006357855887259633,21.835013322239504
High,architecture_I,11,3,0.007023337950106834,27.28403499119061
High,architecture_I,11,4,0.007568083631432117,45.505492180183516
High,architecture_I,11,5,0.00935007240617435,67.28776560654691
High,architecture_I,11,6,0.007131313166697884,80.0251618055227
High,architecture_I,11,7,0.005725708633495533,94.93883919156296
High,architecture_I,11,8,0.0022960894197679,97.11903080755309
High,architecture_I,11,9,0.0005483935508536348,102.72532936273707
High,architecture_I,11,10,0.0004906193280079513,125.7240448942137
High,control,11,1,0.0035940743879080334,12.270864208524435
High,control,11,2,0.00636640059881625,10.33140304668436
High,control,11,3,0.007049074391710083,8.519863219775003
High,control,11,4,0.0075637199496314,19.857668364458835
High,control,11,5,0.009367944507864483,50.378590799295885
High,control,11,6,0.0071310908142801005,77.93932899592416
