density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
High,A-Gradient45-90,100,1,0.0035924317244663,12.69281865475925
High,A-Gradient45-90,10,1,0.0035923205592365,10.010093011206315
High,A-Gradient45-90,11,1,0.0036014815090149,16.98954303126023
High,A-Gradient45-90,12,1,0.0035918606563813,16.316268839496136
High,A-Gradient45-90,13,1,0.0035844387858096,13.362902737073036
High,A-Gradient45-90,14,1,0.0036045277155161,6.012034682004617
High,A-Gradient45-90,15,1,0.0035974933764113,19.69869047580926
High,A-Gradient45-90,16,1,0.0035964983275932,12.832805286704437
High,A-Gradient45-90,17,1,0.0035891095346008,12.899730787396416
High,A-Gradient45-90,18,1,0.0036012526231852,13.441055684271396
High,A-Gradient45-90,19,1,0.0036012591982143,10.92747693353281
High,A-Gradient45-90,1,1,0.0035897183699659,12.351887957104289
High,A-Gradient45-90,20,1,0.0035893194591041,11.37129809935796
High,A-Gradient45-90,21,1,0.0035987142063987,12.028481067289553
High,A-Gradient45-90,22,1,0.0035906163021028,6.603060602734047
High,A-Gradient45-90,23,1,0.0035923229323167,10.084380741460656
High,A-Gradient45-90,24,1,0.0035988349438633,7.798246269532794
High,A-Gradient45-90,25,1,0.0036015133497932,10.307655123820515
High,A-Gradient45-90,26,1,0.003597177403753,17.28046181027014
High,A-Gradient45-90,27,1,0.0035944870092654,9.033228294673409
High,A-Gradient45-90,28,1,0.0036005019901393,16.895830100051644
High,A-Gradient45-90,29,1,0.0035931755665365,13.105176611147556
High,A-Gradient45-90,2,1,0.0035933248993789,11.709169783413948
High,A-Gradient45-90,30,1,0.0035999190041341,13.667721770304572
High,A-Gradient45-90,31,1,0.0035976020087539,5.393427260091663
High,A-Gradient45-90,32,1,0.0035891254340685,13.405254330199128
High,A-Gradient45-90,33,1,0.0036011248198782,14.913652573877568
High,A-Gradient45-90,34,1,0.0035931077846356,9.701500751750002
High,A-Gradient45-90,35,1,0.0035963403069578,7.21649842862211
High,A-Gradient45-90,36,1,0.003591389855568,11.26318740933184
High,A-Gradient45-90,37,1,0.0036075309320228,5.722189523770711
High,A-Gradient45-90,38,1,0.0035934028816016,8.244222174933283
High,A-Gradient45-90,39,1,0.0035879751926048,10.456609433115664
High,A-Gradient45-90,3,1,0.0035941343917609,6.849780166589304
High,A-Gradient45-90,40,1,0.0035995785555383,12.211011316042756
High,A-Gradient45-90,41,1,0.0035982273929796,9.752940647216183
High,A-Gradient45-90,42,1,0.0035994501577423,15.847957827086969
High,A-Gradient45-90,43,1,0.00359988635322,11.15000777568477
High,A-Gradient45-90,44,1,0.0035982260106476,16.03962701098239
High,A-Gradient45-90,45,1,0.0035950978660835,17.344275598180488
High,A-Gradient45-90,46,1,0.0036040673239601,12.329159810902512
High,A-Gradient45-90,47,1,0.0035978722897052,15.40013987847029
High,A-Gradient45-90,48,1,0.0035867327712914,7.500145792818575
High,A-Gradient45-90,49,1,0.0035960284074425,9.142036117074127
High,A-Gradient45-90,4,1,0.0035944688013669,7.611151009251155
High,A-Gradient45-90,50,1,0.0035971143758266,8.878926511328373
High,A-Gradient45-90,51,1,0.0036001659241138,7.685404795671933
High,A-Gradient45-90,52,1,0.0035966672442434,12.818950792881685
High,A-Gradient45-90,53,1,0.0035987318763323,7.612225560397757
High,A-Gradient45-90,54,1,0.003596007682205,6.416188213067944
High,A-Gradient45-90,55,1,0.0035972567081966,8.610126761296186
High,A-Gradient45-90,56,1,0.0035964399516291,14.965676420215658
High,A-Gradient45-90,57,1,0.0035982143174059,7.626293773399617
High,A-Gradient45-90,58,1,0.0035993974531856,10.372850677592153
High,A-Gradient45-90,59,1,0.003596498644085,7.301432361228319
High,A-Gradient45-90,5,1,0.0035998335193481,9.19382418913022
High,A-Gradient45-90,60,1,0.0036015084261512,9.126160073538935
High,A-Gradient45-90,61,1,0.0036007369577065,7.886109866175784
High,A-Gradient45-90,62,1,0.0036016090850573,10.145435393566276
High,A-Gradient45-90,63,1,0.0035871810462661,9.837577737322654
High,A-Gradient45-90,64,1,0.0035952375759434,6.151860086398671
High,A-Gradient45-90,65,1,0.0035841133421149,15.503228517807486
High,A-Gradient45-90,66,1,0.0036051041575268,13.021856549761605
High,A-Gradient45-90,67,1,0.0035977925958833,9.578814846265258
High,A-Gradient45-90,68,1,0.0036061798623051,6.844969259375294
High,A-Gradient45-90,69,1,0.0035916075244076,12.433071295291626
High,A-Gradient45-90,6,1,0.0035910797089959,16.87674342995726
High,A-Gradient45-90,70,1,0.003595799632012,9.173297081359364
High,A-Gradient45-90,71,1,0.0035915264631613,10.785439765554411
High,A-Gradient45-90,72,1,0.0035885480000613,15.154371483255195
High,A-Gradient45-90,73,1,0.0036028951838688,16.053090811817867
High,A-Gradient45-90,74,1,0.0036024847909455,11.858189645528547
High,A-Gradient45-90,75,1,0.0036016915493026,13.106461775560954
High,A-Gradient45-90,76,1,0.0035878740400305,13.887070824574025
High,A-Gradient45-90,77,1,0.0035944104047319,13.726452722888403
High,A-Gradient45-90,78,1,0.0036054180205574,7.895978553578037
High,A-Gradient45-90,79,1,0.0035980093177699,14.047889900796015
High,A-Gradient45-90,7,1,0.0035911551332132,8.69648969665374
High,A-Gradient45-90,80,1,0.003592957991428,8.6630494809192
High,A-Gradient45-90,81,1,0.0035954059973066,9.49224148892572
High,A-Gradient45-90,82,1,0.0036000480718224,17.393121454199235
High,A-Gradient45-90,83,1,0.0035944910619956,15.82861433697807
High,A-Gradient45-90,84,1,0.0036053365191413,15.448339641594025
High,A-Gradient45-90,85,1,0.0035963648373714,12.747965530870166
High,A-Gradient45-90,86,1,0.0035976866370257,11.709557151126791
High,A-Gradient45-90,87,1,0.0035927677315036,17.41254256157617
High,A-Gradient45-90,88,1,0.0035938401142368,11.530007178716852
High,A-Gradient45-90,89,1,0.0035994130904898,17.25301471631334
High,A-Gradient45-90,8,1,0.0035981999978046,16.20937370847773
High,A-Gradient45-90,90,1,0.0035919107729455,8.388693902397705
High,A-Gradient45-90,91,1,0.0036093734631144,16.65183041929176
High,A-Gradient45-90,93,1,0.0035884819490393,12.451496824217209
High,A-Gradient45-90,94,1,0.0036046181554785,5.9438956211522616
High,A-Gradient45-90,95,1,0.0035996893885956,7.947753983990757
High,A-Gradient45-90,96,1,0.0035960620054391,10.736784511692395
High,A-Gradient45-90,97,1,0.003598348937698,7.376479576939071
High,A-Gradient45-90,98,1,0.0035983773208217,8.138959005138423
High,A-Gradient45-90,99,1,0.0035891898145492,10.76549422505486
High,A-Gradient45-90,9,1,0.0035922934791679,11.592215356661882
High,B-Gradient90-45,100,1,0.0035901438732171,22.793953360745405
High,B-Gradient90-45,10,1,0.0036059006607817,11.408139277806834
High,B-Gradient90-45,11,1,0.0035975622063373,11.943248026936894
High,B-Gradient90-45,12,1,0.0036000598770892,12.572575021561557
High,B-Gradient90-45,13,1,0.0035948846109189,9.653974609873474
High,B-Gradient90-45,14,1,0.0035878121070863,10.176200469988585
High,B-Gradient90-45,15,1,0.0036030518161253,16.46441368857779
High,B-Gradient90-45,16,1,0.0035841782047882,8.826642373272259
High,B-Gradient90-45,17,1,0.0035947349748097,8.77650183902547
High,B-Gradient90-45,18,1,0.003594761727306,11.805707170869526
High,B-Gradient90-45,19,1,0.0035955638954079,16.430010835262355
High,B-Gradient90-45,1,1,0.0035949135713509,11.64213803507087
High,B-Gradient90-45,20,1,0.0035932374715152,10.37926179061286
High,B-Gradient90-45,21,1,0.0035910679602778,14.60406011844482
High,B-Gradient90-45,22,1,0.0035862957951771,14.56172844717068
High,B-Gradient90-45,23,1,0.0035958555829526,15.166509458518505
High,B-Gradient90-45,24,1,0.0035990986493808,9.66305177424062
High,B-Gradient90-45,25,1,0.0035906659795048,15.917617198013597
High,B-Gradient90-45,26,1,0.0035964263795811,16.43455470730108
High,B-Gradient90-45,27,1,0.0035901329982048,8.124092583229618
High,B-Gradient90-45,28,1,0.003600103423305,16.67217365003548
High,B-Gradient90-45,29,1,0.0035965151160964,8.179503527999024
High,B-Gradient90-45,2,1,0.0036089506429972,10.769110204581482
High,B-Gradient90-45,30,1,0.0035929922312856,21.14806674597295
High,B-Gradient90-45,31,1,0.003592539970065,19.529568269535904
High,B-Gradient90-45,32,1,0.0035895831610585,23.941115391279528
High,B-Gradient90-45,33,1,0.0035915910332636,13.786517736260672
High,B-Gradient90-45,34,1,0.0035905901339535,11.807991084752494
High,B-Gradient90-45,35,1,0.003587673890135,12.003000138329671
High,B-Gradient90-45,36,1,0.0035946329954303,19.388811498894544
High,B-Gradient90-45,37,1,0.0035960165603722,19.35049385440576
High,B-Gradient90-45,38,1,0.0035929203957865,15.746322259393402
High,B-Gradient90-45,39,1,0.0035968033056948,12.565458268809934
High,B-Gradient90-45,3,1,0.0035920365600344,12.436674845602465
High,B-Gradient90-45,40,1,0.0036015228513701,18.22687896295638
High,B-Gradient90-45,41,1,0.0035992386066319,13.97721011679525
High,B-Gradient90-45,42,1,0.003598725927718,17.9610344987528
High,B-Gradient90-45,43,1,0.0035969148877655,13.154400987097024
High,B-Gradient90-45,44,1,0.0035940672413207,10.734763173316564
High,B-Gradient90-45,45,1,0.0035900829129382,12.589416385094482
High,B-Gradient90-45,46,1,0.003599212241088,14.93292958564354
High,B-Gradient90-45,47,1,0.0036008004291257,11.025052438313804
High,B-Gradient90-45,48,1,0.0035954975066446,19.498095934194016
High,B-Gradient90-45,49,1,0.0035990056647477,17.062101239038316
High,B-Gradient90-45,4,1,0.0035948298019915,23.359216197009005
High,B-Gradient90-45,50,1,0.0035877227990299,17.174768849338307
High,B-Gradient90-45,51,1,0.0035921370770935,12.122798031894057
High,B-Gradient90-45,52,1,0.0036072199475183,8.683337894206817
High,B-Gradient90-45,53,1,0.0035980079738874,8.526935394789156
High,B-Gradient90-45,54,1,0.003588367962607,23.49667788363572
High,B-Gradient90-45,55,1,0.0035988060593423,8.58880254691735
High,B-Gradient90-45,56,1,0.0035979585560927,12.102273142773216
High,B-Gradient90-45,57,1,0.0036048881002433,10.49414487057921
High,B-Gradient90-45,58,1,0.0035931538570059,13.076834010844877
High,B-Gradient90-45,59,1,0.0035910839737125,18.61723012692509
High,B-Gradient90-45,5,1,0.0035998733573672,16.137522805866066
High,B-Gradient90-45,60,1,0.0035946174110593,12.54967099064634
High,B-Gradient90-45,61,1,0.0035924692777019,14.060828571039275
High,B-Gradient90-45,62,1,0.003600365757237,15.962159540448694
High,B-Gradient90-45,63,1,0.0035944702091015,11.035741635404412
High,B-Gradient90-45,64,1,0.0036007246853563,19.89512382508251
High,B-Gradient90-45,65,1,0.0035992302291206,9.883779064534798
High,B-Gradient90-45,66,1,0.0036072435880578,14.72641120673133
High,B-Gradient90-45,67,1,0.0036004120642205,7.9667310341641295
High,B-Gradient90-45,68,1,0.00359675041156,16.742739300448243
High,B-Gradient90-45,69,1,0.0035923630264153,14.288229010132014
