density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,A-Gradient45-90,100,4.199064446653171,268.85293555334687,98.46217407429604
High,B-Gradient90-45,100,6.475109632591101,266.5768903674089,97.62861666181126
High,C-Uniform90,100,1.9914883295191215,271.0605116704809,99.27065601807745
High,D-Uniform70,100,4.9827720652176755,268.06922793478236,98.17515635658495
High,E-Uniform50,100,5.173897473793338,267.8781025262067,98.10516038198097
High,F-Uniform30,100,19.662193899197923,253.3898061008021,92.79910277192698
High,control,100,4.330009030734145,268.7219909692659,98.41421815964208
High,A-Gradient45-90,10,2.6950562705301766,270.35694372946983,99.01298790320885
High,B-Gradient90-45,10,2.5809519122682754,270.47104808773173,99.05477641172074
High,C-Uniform90,10,1.649152916725867,271.40284708327414,99.39602972447523
High,D-Uniform70,10,2.6288144882257325,270.4231855117743,99.03724767142313
High,E-Uniform50,10,6.1141172025008235,266.9378827974992,97.76082313899886
High,F-Uniform30,10,15.867611708273941,257.18438829172607,94.1887949151539
High,control,10,3.324826667559611,269.72717333244043,98.78234670774813
High,A-Gradient45-90,11,2.0539492586692645,270.99805074133076,99.24778091401298
High,B-Gradient90-45,11,4.743450382480247,268.30854961751976,98.26280328198283
High,C-Uniform90,11,3.856560484199637,269.1954395158004,98.5876095087384
High,D-Uniform70,11,5.163573492104196,267.8884265078958,98.10894134007287
High,E-Uniform50,11,8.516244649915887,264.5357553500841,96.88109054322403
High,F-Uniform30,11,17.328902646313495,255.7230973536865,93.6536254463203
High,control,11,3.417896956977592,269.63410304302244,98.74826151905953
High,A-Gradient45-90,12,4.620279338251102,268.4317206617489,98.30791228840987
High,B-Gradient90-45,12,5.260392090243805,267.79160790975624,98.07348340600187
High,C-Uniform90,12,5.489503202233737,267.5624967977663,97.98957590413777
High,D-Uniform70,12,3.0299577033204494,270.02204229667956,98.89033674782807
High,E-Uniform50,12,7.925830001487017,265.126169998513,97.09731845894296
High,F-Uniform30,12,15.21878738501412,257.8332126149859,94.42641424160449
High,control,12,4.473067732496294,268.5789322675037,98.36182568430326
High,A-Gradient45-90,13,4.387381938484817,268.6646180615152,98.3932064447487
High,B-Gradient90-45,13,3.5545703096859995,269.497429690314,98.6982075539875
High,C-Uniform90,13,2.2849695752526613,270.76703042474736,99.16317420298967
High,D-Uniform70,13,4.453765620678136,268.59823437932187,98.36889470845182
High,E-Uniform50,13,10.973966816442225,262.0780331835578,95.98099745966255
High,F-Uniform30,13,14.51673864835101,258.535261351649,94.68352597734095
High,control,13,6.246491976501585,266.8055080234984,97.71234344502088
High,A-Gradient45-90,14,1.9747385371124933,271.0772614628875,99.27679030473591
High,B-Gradient90-45,14,3.0485175427185127,270.0034824572815,98.88353956655929
High,C-Uniform90,14,3.3842404721445276,269.6677595278555,98.76058755396609
High,D-Uniform70,14,4.972028202646456,268.07997179735355,98.17909108790762
High,E-Uniform50,14,8.433408887812607,264.6185911121874,96.91142753475066
High,F-Uniform30,14,23.764613531144473,249.28738646885554,91.29667113548172
High,control,14,4.885357376416689,268.16664262358336,98.21083259730136
High,A-Gradient45-90,15,9.824974204804859,263.2270257951952,96.40179372251262
High,B-Gradient90-45,15,5.05777179184952,267.9942282081505,98.14768916109404
High,C-Uniform90,15,1.7578871556262103,271.2941128443738,99.35620791804263
High,D-Uniform70,15,3.968716637170953,269.0832833628291,98.54653449263476
High,E-Uniform50,15,7.131268161177014,265.92073183882303,97.38831132488428
High,F-Uniform30,15,14.75485109454811,258.29714890545193,94.59632191137656
High,control,15,6.046701207612538,267.00529879238746,97.78551293980175
High,A-Gradient45-90,16,3.94411049089052,269.1078895091095,98.55554601654977
High,B-Gradient90-45,16,3.3240949969395257,269.72790500306047,98.78261466792422
High,C-Uniform90,16,1.172961465535138,271.8790385344649,99.57042560921174
High,D-Uniform70,16,3.856933241184903,269.19506675881513,98.58747299372101
High,E-Uniform50,16,8.575378729316697,264.4766212706833,96.85943383336628
High,F-Uniform30,16,15.849016283734734,257.2029837162653,94.19560512879059
High,control,16,2.755179885988586,270.29682011401144,98.99096879495899
High,A-Gradient45-90,17,4.000918388673193,269.0510816113268,98.53474122560054
High,B-Gradient90-45,17,3.907985110258927,269.1440148897411,98.56877623666594
High,C-Uniform90,17,1.1197309855746502,271.93226901442534,99.58992024025656
High,D-Uniform70,17,2.2320119068068798,270.81998809319316,99.18256892210756
High,E-Uniform50,17,8.747984278084495,264.3040157219155,96.79622039828145
High,F-Uniform30,17,18.774790567763503,254.27720943223653,93.1240970336187
High,control,17,3.5440489371882955,269.50795106281174,98.70206080263529
High,A-Gradient45-90,18,1.9678906962944895,271.08410930370553,99.2792981936428
High,B-Gradient90-45,18,4.252277750907118,268.7997222490929,98.44268573352068
High,C-Uniform90,18,1.8261335568185455,271.2258664431815,99.33121399703407
High,D-Uniform70,18,3.73299806647013,269.3190019335299,98.63286184812046
High,E-Uniform50,18,3.210809501041351,269.84119049895867,98.82410328397472
High,F-Uniform30,18,12.424135652447486,260.62786434755253,95.44990124502019
High,control,18,4.4655067025985575,268.5864932974015,98.36459476488048
High,A-Gradient45-90,19,3.592520629241086,269.4594793707589,98.68430898537966
