density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,A-Gradient45-90,100,4.199064446653171,1.537825925703958,268.85293555334687,98.46217407429604
High,A-Gradient45-90,10,2.6950562705301766,0.987012096791152,270.35694372946983,99.01298790320884
High,A-Gradient45-90,11,2.0539492586692645,0.752219085987015,270.9980507413308,99.24778091401298
High,A-Gradient45-90,12,4.620279338251102,1.6920877115901374,268.4317206617489,98.30791228840988
High,A-Gradient45-90,13,4.387381938484817,1.6067935552513135,268.6646180615152,98.3932064447487
High,A-Gradient45-90,14,1.9747385371124933,0.7232096952640863,271.0772614628875,99.27679030473593
High,A-Gradient45-90,16,3.94411049089052,1.444453983450229,269.1078895091095,98.55554601654975
High,A-Gradient45-90,17,4.000918388673193,1.4652587743994523,269.0510816113268,98.53474122560054
High,A-Gradient45-90,18,1.967890696294489,0.7207018063572102,271.08410930370553,99.2792981936428
High,A-Gradient45-90,19,3.592520629241086,1.3156910146203231,269.4594793707589,98.68430898537966
High,A-Gradient45-90,1,4.646729170041839,1.7017744495707186,268.40527082995817,98.29822555042928
High,A-Gradient45-90,20,4.509205237660522,1.6514089761878767,268.5427947623395,98.34859102381212
High,A-Gradient45-90,21,5.466889428998448,2.0021422399390763,267.5851105710016,97.99785776006092
High,A-Gradient45-90,22,2.247333500091629,0.8230423143180159,270.8046664999084,99.17695768568196
High,A-Gradient45-90,23,5.492174487138353,2.0114024021572274,267.55982551286166,97.98859759784276
High,A-Gradient45-90,24,3.0081067646760373,1.101660769624847,270.043893235324,98.89833923037516
High,A-Gradient45-90,25,4.554206252780363,1.667889725319852,268.49779374721965,98.33211027468012
High,A-Gradient45-90,27,4.074693385326627,1.492277436285626,268.9773066146734,98.50772256371438
High,A-Gradient45-90,28,4.023604452205072,1.473567105241885,269.02839554779496,98.52643289475812
High,A-Gradient45-90,29,5.13651371972297,1.881148543033184,267.91548628027704,98.1188514569668
High,A-Gradient45-90,2,3.492987748895969,1.2792390273266518,269.55901225110404,98.72076097267332
High,A-Gradient45-90,30,3.3853135855304464,1.2398054530017897,269.66668641446955,98.7601945469982
High,A-Gradient45-90,31,1.958442137915104,0.7172414550763604,271.09355786208494,99.28275854492364
High,A-Gradient45-90,32,2.160069652075149,0.7910836221947283,270.89193034792487,99.20891637780528
High,A-Gradient45-90,33,4.080875038010455,1.4945413467070208,268.9711249619896,98.50545865329298
High,A-Gradient45-90,34,2.4510641179926567,0.8976547023983185,270.6009358820074,99.10234529760169
High,A-Gradient45-90,35,2.1211614825645477,0.7768342596152188,270.93083851743546,99.22316574038476
High,A-Gradient45-90,36,4.435548924550899,1.6244337798481236,268.6164510754491,98.37556622015188
High,A-Gradient45-90,37,3.6538231705674074,1.3381418816076815,269.3981768294326,98.6618581183923
High,A-Gradient45-90,38,2.1071026793193943,0.7716854955537386,270.94489732068064,99.22831450444627
High,A-Gradient45-90,39,2.86767644992444,1.0502308900591977,270.1843235500756,98.94976910994082
High,A-Gradient45-90,3,2.514361554133256,0.9208361609265836,270.5376384458668,99.07916383907344
High,A-Gradient45-90,40,3.042293591827518,1.1141810321211776,270.0097064081725,98.88581896787882
High,A-Gradient45-90,41,3.611297896716601,1.3225678247061368,269.4407021032834,98.67743217529386
High,A-Gradient45-90,42,6.124219980546844,2.2428768075483214,266.9277800194532,97.75712319245169
High,A-Gradient45-90,43,3.930742837757925,1.4395583397147522,269.1212571622421,98.56044166028524
High,A-Gradient45-90,44,4.856361720212569,1.7785483058950562,268.19563827978743,98.22145169410491
High,A-Gradient45-90,45,6.298241929701622,2.3066089718081617,266.7537580702984,97.69339102819184
High,A-Gradient45-90,46,3.9411813458940426,1.4433812408969875,269.110818654106,98.556618759103
High,A-Gradient45-90,47,3.847097765203409,1.408924953929438,269.20490223479663,98.59107504607056
