density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,A-Gradient45-90,15,9.82497420480486,263.2270257951952,96.40179372251262
High,A-Gradient45-90,26,8.191874407944532,264.8601255920555,96.99988485418729
High,A-Gradient45-90,65,7.222724451499171,265.82927554850085,97.354817232066
High,A-Gradient45-90,69,7.573461625433637,265.4785383745664,97.22636654357645
High,A-Gradient45-90,6,8.86477807672089,264.18722192327914,96.7534469343858
High,A-Gradient45-90,82,9.3081890211688,263.7438109788312,96.5910562745672
High,A-Gradient45-90,84,7.844358365476265,265.2076416345238,97.12715586574124
High,A-Gradient45-90,87,7.565064455608897,265.48693554439114,97.2294418441876
High,A-Gradient45-90,92,15.99511645922025,257.0568835407798,94.14209877268055
High,B-Gradient90-45,4,11.856682138824334,261.1953178611757,95.6577200903768
High,B-Gradient90-45,92,12.72511711794207,260.326882882058,95.33967261988847
High,C-Uniform90,21,7.239513224403757,265.81248677559626,97.34866866955608
High,C-Uniform90,25,6.942517509360833,266.1094824906392,97.45743759087615
High,C-Uniform90,45,6.419212364623611,266.6327876353764,97.64908795224952
High,C-Uniform90,70,6.236375954962624,266.8156240450374,97.71604824174054
High,C-Uniform90,79,7.370688450701892,265.68131154929813,97.30062828666264
High,C-Uniform90,86,7.531560286900119,265.5204397130999,97.24171209626734
High,C-Uniform90,87,7.032368671844769,266.01963132815524,97.42453134500212
High,D-Uniform70,58,8.510697986404873,264.5413020135952,96.88312190117456
High,D-Uniform70,66,8.446418293665731,264.6055817063343,96.9066630921342
High,D-Uniform70,67,19.2181701779829,253.83382982201712,92.96171784935363
High,D-Uniform70,72,9.937891226294909,263.1141087737051,96.36044005306869
High,D-Uniform70,78,9.12233677175203,263.929663228248,96.65912105688584
High,D-Uniform70,79,8.345966247268558,264.70603375273146,96.94345170617004
High,D-Uniform70,96,8.098229580849685,264.9537704191503,97.03418045615864
High,F-Uniform30,29,29.80420150955209,243.24779849044796,89.08478915754065
High,F-Uniform30,37,35.41082082345047,237.64117917654957,87.03147355688643
High,F-Uniform30,3,25.931686755133452,247.12031324486657,90.5030225908862
High,F-Uniform30,56,28.78181467950005,244.2701853205,89.45921850801311
High,F-Uniform30,89,27.10272985426753,245.9492701457325,90.07415076459154
High,control,28,11.275489469853614,261.7765105301464,95.870570634951
High,control,67,10.592941428436736,262.4590585715633,96.12054061920928
High,control,72,12.738037274563222,260.3139627254368,95.33494086307252
High,control,84,11.05073190605137,262.0012680939486,95.95288373421496
