density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
Low,architecture_A,100,1,0.00359930277380105,58.681590388949104
Low,architecture_A,100,2,0.006045778139104017,41.900878768913664
Low,architecture_A,100,3,0.0076671085639817005,35.611959974767174
Low,architecture_A,100,4,0.007900163255744684,47.23056421901625
Low,architecture_A,100,5,0.0079586782712813,130.21327712249808
Low,architecture_A,100,6,0.006435458395066766,156.1182664123992
Low,architecture_A,100,7,0.0043288801977365,182.9645421980271
Low,architecture_A,100,8,0.0013998454240254001,196.46696065167103
Low,architecture_A,100,9,0.0003232985183410486,225.06292212775733
Low,architecture_A,100,10,0.0002296773354197407,197.68571727407257
Low,architecture_B,100,1,0.003603893861458783,61.76445155680084
Low,architecture_B,100,2,0.006045506338349784,29.385528806175614
Low,architecture_B,100,3,0.007659177628256717,48.70678800989509
Low,architecture_B,100,4,0.007901666326589467,64.46063431080843
Low,architecture_B,100,5,0.007943766022317783,108.77563927604531
Low,architecture_B,100,6,0.0064617198429741006,139.5448357524128
Low,architecture_B,100,7,0.004324341142980933,149.93846447748527
Low,architecture_B,100,8,0.0014009993489063832,197.1027526848834
Low,architecture_B,100,9,0.00032256125722140804,229.37777624108028
Low,architecture_B,100,10,0.00022829594145031766,220.14140802005315
Low,architecture_C,100,1,0.003584423042986817,46.402736146144264
Low,architecture_C,100,2,0.006031186337226367,30.706859971580755
Low,architecture_C,100,3,0.007669638285464416,34.480510939993316
Low,architecture_C,100,4,0.007900865579511649,52.08671647561488
Low,architecture_C,100,5,0.007958187258874833,100.57209801762441
Low,architecture_C,100,6,0.006445169337574733,120.2547585414123
Low,architecture_C,100,7,0.004326891990278916,189.1150287966798
Low,architecture_C,100,8,0.0013956733425125,210.7913998884304
Low,architecture_C,100,9,0.00031706280651816145,260.1793683245258
Low,architecture_C,100,10,0.00023060783300320656,228.93220680785763
Low,architecture_D,100,1,0.00359996161747495,48.042067985332416
Low,architecture_D,100,2,0.006027750580190234,36.56430476869706
Low,architecture_D,100,3,0.007674812877512767,19.359089195160035
Low,architecture_D,100,4,0.0079120014016572,73.47003877205528
Low,architecture_D,100,5,0.0079382138665637,84.18459185051934
Low,architecture_D,100,6,0.0064355601724615,120.22095039603802
Low,architecture_D,100,7,0.004333352507807217,181.58047956645237
Low,architecture_D,100,8,0.0014039525467229002,203.55480564315562
Low,architecture_D,100,9,0.0003354191517304785,214.74315030992534
Low,architecture_D,100,10,0.000229015977873438,220.89669939138028
Low,architecture_E,100,1,0.0035977496145390836,62.51028417625145
Low,architecture_E,100,2,0.00604763870501735,32.69512007537927
Low,architecture_E,100,3,0.007653682267964317,42.037355032775125
Low,architecture_E,100,4,0.007894268705057482,78.29713575012072
Low,architecture_E,100,5,0.007924955838162417,110.6773637314095
Low,architecture_E,100,6,0.0064396681853118335,127.94007076527554
Low,architecture_E,100,7,0.004335933366390333,150.0086158097245
Low,architecture_E,100,8,0.0013870858726850001,178.26356424043334
Low,architecture_E,100,9,0.0003247774670836918,192.50547340606963
Low,architecture_E,100,10,0.00022967314977048636,208.25583573749748
Low,architecture_F,100,1,0.00358997619043295,65.7730322585195
Low,architecture_F,100,2,0.006043517665593484,49.20294044539614
Low,architecture_F,100,3,0.007675169758504217,44.631531486704574
Low,architecture_F,100,4,0.007933090907807767,70.74513280995058
Low,architecture_F,100,5,0.007969202688159033,95.30359648207612
Low,architecture_F,100,6,0.006444917926609284,112.25713178846843
Low,architecture_F,100,7,0.004323667169194533,118.59072654004528
Low,architecture_F,100,8,0.0013853919078541,129.50494592885045
Low,architecture_F,100,9,0.0003329185453616195,153.33345144372004
Low,architecture_F,100,10,0.00022988687241849202,130.05512398681142
Low,control,100,1,0.0035928323203738336,55.41016362945587
Low,control,100,2,0.006028552839882633,29.187601927479665
Low,control,100,3,0.0076621170412128495,42.01511241884292
Low,control,100,4,0.0078894457634552,95.12568201500738
Low,control,100,5,0.007950284685201967,107.35953772355577
Low,control,100,6,0.006430208069605183,166.48161756419228
Low,control,100,7,0.0043303346457622,163.21615996795586
Low,control,100,8,0.0014084135577966167,225.40319449794788
Low,control,100,9,0.00032859041387889727,245.78265758455052
Low,control,100,10,0.0002313796259020504,219.2811882340412
Low,architecture_A,10,1,0.0035981538925315333,56.83690137484134
Low,architecture_A,10,2,0.006033490438812583,32.7456619471906
Low,architecture_A,10,3,0.007656405866083766,42.24544964115854
Low,architecture_A,10,4,0.007897506016922667,46.11879136689396
Low,architecture_A,10,5,0.007938673123043834,113.90870802582747
Low,architecture_A,10,6,0.006438409462522234,134.16575699272173
Low,architecture_A,10,7,0.0043329716951381,191.2187277918699
Low,architecture_A,10,8,0.0013858372563506666,191.05836897632022
Low,architecture_A,10,9,0.00032365040825535496,222.2035737967975
Low,architecture_A,10,10,0.00022873290247799833,156.87407165338576
Low,architecture_B,10,1,0.0035959221416098663,51.10525358020586
Low,architecture_B,10,2,0.0060288973098068166,31.492511513735256
Low,architecture_B,10,3,0.0076514652569953665,34.309938608425576
Low,architecture_B,10,4,0.007897563440782301,71.96692665263228
Low,architecture_B,10,5,0.00793810873403665,104.27006697247116
Low,architecture_B,10,6,0.0064234226302012825,107.55599992945012
Low,architecture_B,10,7,0.004333129541409633,142.89304063175865
Low,architecture_B,10,8,0.001397442506914733,202.02617259214153
Low,architecture_B,10,9,0.00032575353957997843,245.72672265626537
Low,architecture_B,10,10,0.00023060831025826711,234.29369753874153
Low,architecture_C,10,1,0.003594675667070566,58.19977397365286
Low,architecture_C,10,2,0.00604990677633075,19.888998412401072
Low,architecture_C,10,3,0.007634541988375334,39.318583785952484
Low,architecture_C,10,4,0.007911642124321716,72.12239774283715
Low,architecture_C,10,5,0.007954408029283334,75.7927847094118
Low,architecture_C,10,6,0.006430975181283267,125.5910203072994
Low,architecture_C,10,7,0.00433794636128655,186.8879151183681
Low,architecture_C,10,8,0.00140193590923165,217.8782869305164
Low,architecture_C,10,9,0.00030838693847557694,267.1009382374572
Low,architecture_C,10,10,0.0002295674438932225,218.1424881982468
Low,architecture_D,10,1,0.003594893207069067,44.795292786781566
Low,architecture_D,10,2,0.00602229686356795,19.026861967691726
Low,architecture_D,10,3,0.007657570240458717,27.638910713846197
Low,architecture_D,10,4,0.007892926075643783,54.39589236027788
Low,architecture_D,10,5,0.007944875688890317,92.12094515701354
Low,architecture_D,10,6,0.00647922952476995,122.77451253405303
Low,architecture_D,10,7,0.004322981553693066,183.72137734707022
Low,architecture_D,10,8,0.0013865015276600166,188.7365315159815
Low,architecture_D,10,9,0.00033135458659741155,249.96469990242227
Low,architecture_D,10,10,0.00022945990976195736,250.09316207272286
Low,architecture_E,10,1,0.0036026841087827333,53.88316180355846
Low,architecture_E,10,2,0.006039791099008967,37.833355671396575
Low,architecture_E,10,3,0.0076597754177391,46.6693121781498
Low,architecture_E,10,4,0.007896821425183867,57.47722989050673
Low,architecture_E,10,5,0.007926797844695266,101.04515412767803
Low,architecture_E,10,6,0.006429993800611283,129.566549169479
Low,architecture_E,10,7,0.004337704336460034,142.75820452103846
Low,architecture_E,10,8,0.0013985613436744001,164.47705623356396
Low,architecture_E,10,9,0.0003166202081243274,196.5283654259581
Low,architecture_E,10,10,0.0002296890969424029,168.20686733280544
Low,architecture_F,10,1,0.00359024355560335,66.51245737863272
