density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
Low,architecture_A,100,1,0.003599302773801,58.681590388949104
Low,architecture_A,10,1,0.0035981538925315,56.83690137484134
Low,architecture_A,11,1,0.0035925134447857,50.25031402746893
Low,architecture_A,12,1,0.0035995199910436,49.3586306227564
Low,architecture_A,13,1,0.0036027907375875,50.735523840964056
Low,architecture_A,14,1,0.0035991941867401,53.56046704151149
Low,architecture_A,15,1,0.0036023270759913,39.91190765535534
Low,architecture_A,16,1,0.0036023934272858,52.71333095433277
Low,architecture_A,17,1,0.0036003889604115,46.24061371786312
Low,architecture_A,18,1,0.0036002628506591,57.01768255399708
Low,architecture_A,19,1,0.0035928652501963,60.03681427375656
Low,architecture_A,1,1,0.003599665656429,46.52355901316791
Low,architecture_A,20,1,0.0035963255092112,40.41696960350651
Low,architecture_A,21,1,0.0035919305528165,49.66912787103903
Low,architecture_A,22,1,0.0035975679748705,56.37247357513224
Low,architecture_A,23,1,0.0035961702577827,41.46092034102165
Low,architecture_A,24,1,0.0035989063785741,48.75722964473251
Low,architecture_A,25,1,0.0036013518032834,62.99462301142443
Low,architecture_A,26,1,0.0035939071105942,45.53860221386936
Low,architecture_A,27,1,0.0035916452736161,47.96600306182171
Low,architecture_A,28,1,0.0035833049419026,52.49485471120112
Low,architecture_A,29,1,0.0035935276363621,51.14407775942285
Low,architecture_A,2,1,0.003594686186015,46.127363646588456
Low,architecture_A,30,1,0.003598510612887,57.2420278297941
Low,architecture_A,31,1,0.0036050462370993,44.26111459659801
Low,architecture_A,32,1,0.003582491653211,45.67412916721253
Low,architecture_A,33,1,0.0035914982226791,44.49208654781194
Low,architecture_A,34,1,0.003597445214396,46.65818719865538
Low,architecture_A,35,1,0.0035990835926658,33.724896638760605
Low,architecture_A,36,1,0.0035959817612198,53.43518533239561
Low,architecture_A,37,1,0.0035931125527353,48.71251595288637
Low,architecture_A,38,1,0.0035943841736723,48.83226719739264
Low,architecture_A,39,1,0.0035946948225519,55.66310371017429
Low,architecture_A,3,1,0.003593490764089,40.54460831410957
Low,architecture_A,40,1,0.0035923915258601,41.48372803037232
Low,architecture_A,41,1,0.0035875220144932,54.73182570950888
Low,architecture_A,42,1,0.0035943147274735,43.86315743313781
Low,architecture_A,43,1,0.0035955913641699,60.59325826875962
Low,architecture_A,44,1,0.0035970813575647,41.40585605799525
Low,architecture_A,45,1,0.0035901696012846,47.07075936336099
Low,architecture_A,46,1,0.003597554260884,63.959643834792296
Low,architecture_A,47,1,0.0036077386451941,38.78154464988559
Low,architecture_A,48,1,0.0035912168365936,51.368488717560645
Low,architecture_A,49,1,0.0036007567615443,45.68562684413914
Low,architecture_A,4,1,0.0035917393661128,58.35822259839596
Low,architecture_A,50,1,0.003591526670121,48.615285785738855
Low,architecture_A,51,1,0.0036015210424759,54.34079976257772
Low,architecture_A,52,1,0.003598497045433,60.498691522962986
Low,architecture_A,53,1,0.0035861118693877,52.08222150645602
Low,architecture_A,54,1,0.0035976663547092,44.61204591673254
Low,architecture_A,55,1,0.0035909149874195,49.54671541491763
Low,architecture_A,56,1,0.0035952108120933,62.51427372434701
Low,architecture_A,57,1,0.0035929481248552,58.10584187540912
Low,architecture_A,58,1,0.0035986288274957,54.438896518071694
Low,architecture_A,59,1,0.0035921767154021,46.96741279121084
Low,architecture_A,5,1,0.0035981549994185,43.73826070292896
Low,architecture_A,60,1,0.0035957158799697,45.33939370620696
Low,architecture_A,61,1,0.0035944056050933,55.27065935685212
Low,architecture_A,62,1,0.0035929783157297,64.81108394649986
Low,architecture_A,63,1,0.0035887260975604,66.35182379259062
Low,architecture_A,64,1,0.0036002838215038,61.65205794092825
Low,architecture_A,65,1,0.0035958322524944,50.89146242745012
Low,architecture_A,66,1,0.003593981524647,46.29705991126131
Low,architecture_A,67,1,0.0036021897737848,63.55298752516112
Low,architecture_A,68,1,0.003594524486904,47.39122807447234
Low,architecture_A,69,1,0.0035898710809097,51.59104962428811
Low,architecture_A,6,1,0.0035999398767952,57.60728352350399
Low,architecture_A,70,1,0.0035872408584007,53.81464517137044
Low,architecture_A,71,1,0.0035917000591211,43.78820709084809
