density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
Low,A-Gradient45-90,100,24.30129602921483,248.7507039707852,91.10012157786252
Low,B-Gradient90-45,100,28.266715684992747,244.7852843150073,89.6478635259977
Low,C-Uniform90,100,12.292054757184687,260.7599452428153,95.49827331160925
Low,D-Uniform70,100,19.312487169824212,253.7395128301758,92.92717608007844
Low,E-Uniform50,100,36.972870383672124,236.0791296163279,86.45940319658082
Low,F-Uniform30,100,57.35023403910692,215.7017659608931,78.99658891379411
Low,control,100,35.43557262781333,237.6164273721867,87.02240868852331
Low,A-Gradient45-90,10,25.62674242455919,247.42525757544084,90.61470253850578
Low,B-Gradient90-45,10,20.81657946020628,252.23542053979375,92.37633144594939
Low,C-Uniform90,10,9.897323846553233,263.1546761534468,96.37529706922008
Low,D-Uniform70,10,21.255295127021917,251.7967048729781,92.2156603405132
Low,E-Uniform50,10,32.04809079331498,241.00390920668505,88.26300822066311
Low,F-Uniform30,10,57.70715445789474,215.34484554210528,78.86587373178196
Low,control,10,17.417300717949217,255.6346992820508,93.62125136679123
Low,A-Gradient45-90,11,14.002509671960597,259.04949032803944,94.87185236806155
Low,B-Gradient90-45,11,21.71653135957271,251.3354686404273,92.0467415145933
Low,C-Uniform90,11,17.52503531749048,255.52696468250954,93.58179565888898
Low,D-Uniform70,11,20.55858549675264,252.49341450324738,92.47081673206839
Low,E-Uniform50,11,24.499422345881076,248.55257765411895,91.02756165643136
Low,F-Uniform30,11,62.08348456511537,210.96851543488464,77.26312769541502
Low,control,11,14.627671678627937,258.42432832137206,94.64289890620543
Low,A-Gradient45-90,12,21.747697479491517,251.30430252050851,92.03532752754366
Low,B-Gradient90-45,12,33.979075074192004,239.07292492580802,87.55582267326663
Low,C-Uniform90,12,7.516722853299033,265.535277146701,97.24714601859755
Low,D-Uniform70,12,22.065396617162367,250.98660338283764,91.918976379165
Low,E-Uniform50,12,34.62416652959498,238.42783347040503,87.31957043728119
Low,F-Uniform30,12,60.752342523240124,212.2996574767599,77.75063265486423
Low,control,12,21.779607669862717,251.2723923301373,92.02364103911977
Low,A-Gradient45-90,13,17.325195776651423,255.7268042233486,93.65498301545075
Low,B-Gradient90-45,13,23.857647373754418,249.1943526262456,91.26259929472978
Low,C-Uniform90,13,17.919834346653616,255.13216565334642,93.4372081703655
Low,D-Uniform70,13,14.163777660831013,258.88822233916903,94.8127910944322
Low,E-Uniform50,13,44.53132148619084,228.52067851380917,83.69126705309215
Low,F-Uniform30,13,46.849291669374686,226.20270833062534,82.84235542337186
Low,control,13,16.922800448351612,256.1291995516484,93.80235250122628
Low,A-Gradient45-90,14,24.11320503067634,248.93879496932368,91.1690062586334
Low,B-Gradient90-45,14,22.67896076995014,250.37303923004987,91.69427040638773
Low,C-Uniform90,14,14.384992079629674,258.66700792037034,94.73177560331743
Low,D-Uniform70,14,21.70190075344109,251.35009924655893,92.0520996903736
Low,E-Uniform50,14,35.21803242687624,237.83396757312377,87.10207856859637
Low,F-Uniform30,14,71.88635868283023,201.1656413171698,73.67301514626143
Low,control,14,19.51786975349513,253.5341302465049,92.85195869156969
Low,A-Gradient45-90,15,18.837692229780234,254.2143077702198,93.10106051968847
Low,B-Gradient90-45,15,20.053791275638197,252.99820872436183,92.6556878266271
Low,C-Uniform90,15,23.440554607410764,249.61144539258925,91.41535143217747
Low,D-Uniform70,15,14.098983148987248,258.95301685101276,94.83652082790557
Low,E-Uniform50,15,29.83458653192301,243.217413468077,89.07366123232094
Low,F-Uniform30,15,60.61947703037797,212.43252296962206,77.79929206510923
Low,control,15,18.596664139681693,254.4553358603183,93.18933238369186
Low,A-Gradient45-90,16,22.14564231042903,250.906357689571,91.88958795012341
Low,B-Gradient90-45,16,13.575661317637625,259.4763386823624,95.02817730042715
Low,C-Uniform90,16,20.08015570498812,252.9718442950119,92.64603236563434
Low,D-Uniform70,16,27.143383677761186,245.90861632223883,90.05926209009229
Low,E-Uniform50,16,40.453528067154004,232.59847193284602,85.18467981660855
Low,F-Uniform30,16,65.81160744718765,207.24039255281235,75.89777498528206
Low,control,16,22.625655639222977,250.42634436077705,91.71379237682824
Low,A-Gradient45-90,17,19.109806581035954,253.94219341896405,93.00140391535827
Low,B-Gradient90-45,17,25.55410585830631,247.4978941416937,90.64130427233408
Low,C-Uniform90,17,26.106448346071858,246.94555165392816,90.43901954716615
Low,D-Uniform70,17,17.379051063688493,255.6729489363115,93.63525956093032
Low,E-Uniform50,17,29.89282814458481,243.1591718554152,89.05233137109971
Low,F-Uniform30,17,54.18830434946524,218.8636956505348,80.1545843467672
Low,control,17,29.84024229204627,243.21175770795375,89.0715899198518
Low,A-Gradient45-90,18,24.414083153754888,248.63791684624513,91.05881548065757
Low,B-Gradient90-45,18,19.182997496923576,253.86900250307644,92.97459916172612
Low,C-Uniform90,18,12.465594090721861,260.58640590927814,95.43471789596052
Low,D-Uniform70,18,24.931608852058964,248.12039114794106,90.86928172946584
Low,E-Uniform50,18,31.526288412670127,241.5257115873299,88.45410822382912
Low,F-Uniform30,18,51.86092087439046,221.19107912560958,81.00694341210082
Low,control,18,26.700679817900053,246.35132018209998,90.22139379389273
Low,A-Gradient45-90,19,25.479055201836445,247.57294479816358,90.66879011989056
Low,B-Gradient90-45,19,22.04827312855368,251.00372687144633,91.92524752481077
Low,C-Uniform90,19,8.993248617211444,264.05875138278856,96.70639709022038
Low,D-Uniform70,19,18.700904050265684,254.35109594973434,93.15115653785152
Low,E-Uniform50,19,21.62295102735812,251.4290489726419,92.08101349656545
Low,F-Uniform30,19,68.81198727389639,204.24001272610363,74.79894405684763
Low,control,19,19.880946253348952,253.17105374665107,92.71898896424528
Low,A-Gradient45-90,1,23.792403893005297,249.25959610699474,91.2864934543584
Low,B-Gradient90-45,1,20.450617724267808,252.60138227573222,92.51035783503956
Low,C-Uniform90,1,20.030175157544235,253.02182484245577,92.66433677191735
Low,D-Uniform70,1,21.73610120176064,251.31589879823937,92.03957443938859
Low,E-Uniform50,1,25.735241646751827,247.3167583532482,90.57496680238496
Low,F-Uniform30,1,56.507257291243256,216.54474270875676,79.30531280076936
Low,control,1,25.58229641181899,247.46970358818103,90.63098002877878
Low,A-Gradient45-90,20,16.516443243070412,256.5355567569296,93.95117294761789
Low,B-Gradient90-45,20,23.066274468555793,249.98572553144422,91.55242427502608
Low,C-Uniform90,20,10.747044433425422,262.3049555665746,96.06410338198387
Low,D-Uniform70,20,26.950885004821732,246.10111499517828,90.1297609961393
