density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2]
High,architecture_A,1,769.658044377544,0.050077785081663204
High,architecture_A,2,796.1149259224942,0.0500787982970598
High,architecture_A,3,912.5066133507487,0.0501133826394188
High,architecture_A,4,845.8257678898586,0.0500517223983675
High,architecture_A,5,793.4972785498875,0.0500616967208029
High,architecture_A,6,918.5769312775052,0.0500828763161138
High,architecture_A,7,729.1644339173693,0.0501146066175997
High,architecture_A,8,887.1714777641239,0.050096440517855
High,architecture_A,9,818.5284649540725,0.0501478982221266
High,architecture_A,10,777.7584068322558,0.0501046562874753
High,architecture_A,11,878.8403249101223,0.0501181439117818
High,architecture_A,12,864.2154853348345,0.0500161576397192
High,architecture_A,13,831.721359754642,0.0500717885689362
High,architecture_A,14,864.2624993071374,0.0500667373180107
High,architecture_A,15,880.6465040342136,0.0501176873265858
High,architecture_A,16,805.4920275529845,0.0500578709145707
High,architecture_A,17,856.9258302226467,0.0501020776046836
High,architecture_A,18,874.1689923462009,0.0501606959196544
High,architecture_A,19,802.2078233504121,0.0500838796108134
High,architecture_A,20,854.209571947235,0.0500839706151077
High,architecture_A,21,851.763622159675,0.0500978967148525
High,architecture_A,22,858.9586537251296,0.0500989394112348
High,architecture_A,23,854.6223784935783,0.050074321463438
High,architecture_A,24,789.8114128213749,0.0500824989889945
High,architecture_A,25,839.1788413141729,0.0500935917938099
High,architecture_A,26,897.8782890931217,0.0500175696870429
High,architecture_A,27,853.5094067479058,0.0501081610581201
High,architecture_A,28,852.8559285943207,0.0501036078815421
High,architecture_A,29,941.8928628115239,0.0501087769989052
High,architecture_A,30,869.2445796882914,0.0500289478288742
High,architecture_A,31,827.8969876843602,0.050044682718226104
High,architecture_A,32,829.3698416780156,0.0500588281020305
High,architecture_A,33,845.9127375067471,0.050102447210385
High,architecture_A,34,794.8862793347681,0.050084717496598395
High,architecture_A,35,854.3957677420875,0.0500651515244976
High,architecture_A,36,921.2216622959829,0.0500794959325856
High,architecture_A,37,906.1355773982482,0.0500853679889227
High,architecture_A,38,844.7454830500342,0.0500756162304921
High,architecture_A,39,898.8052325795052,0.0500695254395308
High,architecture_A,40,868.4471356493314,0.0500662805782299
High,architecture_A,41,820.48842940963,0.050042275462895
High,architecture_A,42,923.3116676993368,0.0501028544354111
High,architecture_A,43,799.1950376829244,0.0500902714118919
High,architecture_A,44,850.6492066938088,0.0501629500784535
High,architecture_A,45,836.1958143334334,0.0500315882125569
High,architecture_A,46,854.3394625085834,0.0501065754783084
High,architecture_A,47,853.1243874063291,0.0501463151182687
High,architecture_A,48,834.5504861869385,0.050157756509978904
High,architecture_A,49,840.6687458510437,0.0500361150773215
High,architecture_A,50,894.3625011410988,0.0501204003738015
High,architecture_A,51,884.3657618284873,0.0500620208750324
High,architecture_A,52,822.6433534192839,0.0501029759966408
High,architecture_A,53,871.0479229782543,0.0500938409866335
High,architecture_A,54,769.4072036438711,0.0500871295565732
High,architecture_A,55,832.0371897354419,0.0500651244232236
High,architecture_A,56,867.3506567900137,0.050061911751348304
High,architecture_A,57,888.8158244537574,0.0500570800592919
High,architecture_A,58,825.4914430928374,0.0500760079070494
High,architecture_A,59,869.8792988631811,0.0500457511324965
High,architecture_A,60,776.926015120744,0.0501062969213826
High,architecture_A,61,852.2389479726894,0.0501300388087325
High,architecture_A,62,863.8020594720365,0.0500822220097005
High,architecture_A,63,743.5399906136197,0.0500770188954507
High,architecture_A,64,802.8554896421347,0.0501098270527517
High,architecture_A,65,914.428495894146,0.0500530221344897
High,architecture_A,66,816.9487233384582,0.050079342548004
High,architecture_A,67,764.6252294527907,0.0501391100197099
High,architecture_A,68,841.5650635361659,0.0501133309089018
High,architecture_A,69,880.2514726941533,0.0500620916881508
High,architecture_A,70,782.6828856893878,0.0500675535461347
High,architecture_A,71,827.2921104469963,0.0501075098497876
High,architecture_A,72,830.0289522746261,0.0501019380710556
High,architecture_A,73,888.0950425621645,0.0501078907965593
High,architecture_A,74,797.2889402238247,0.0501020549719191
High,architecture_A,75,934.841809135699,0.050084447226697304
High,architecture_A,76,960.556547733901,0.0500642572764281
High,architecture_A,77,898.2669878580969,0.0501073575368167
High,architecture_A,78,848.9731617916652,0.0500766701460393
High,architecture_A,79,821.890151189849,0.0500402238834008
High,architecture_A,80,775.9460686047372,0.0500815558114857
High,architecture_A,81,847.6458382833922,0.0500846021117815
High,architecture_A,82,871.749381942723,0.0501770146192631
High,architecture_A,83,813.7019641724958,0.0500661317388809
High,architecture_A,84,889.4728068121044,0.0500581945040268
High,architecture_A,85,853.1169917824907,0.050061259841547
High,architecture_A,86,820.8871086374531,0.0499937885197739
High,architecture_A,87,852.7005886834489,0.0500669963041077
High,architecture_A,88,832.0688982298379,0.0500358790318322
High,architecture_A,89,834.235131530364,0.0500439543091524
High,architecture_A,90,871.6603369789486,0.050044528080225
High,architecture_A,91,865.6927053365316,0.050081769104698304
High,architecture_A,92,909.9473858963444,0.0500605457260455
High,architecture_A,93,917.6604133876067,0.0501001348671958
High,architecture_A,94,828.8474358388903,0.0501426572971962
High,architecture_A,95,805.4985560178243,0.0500684781458648
High,architecture_A,96,755.5796975271606,0.0501136367119323
High,architecture_A,97,833.1976673534416,0.050134525398912
High,architecture_A,98,691.5346958904172,0.0500810628892087
High,architecture_A,99,823.0610069486912,0.050137360437170896
High,architecture_A,100,828.4913705152294,0.050063028567311
High,architecture_B,1,878.9042344002246,0.0500368111662084
High,architecture_B,2,902.5717978047549,0.0500977746004253
High,architecture_B,3,1005.6136937580595,0.0501231251285339
High,architecture_B,4,936.1861282168926,0.0500942162084622
High,architecture_B,5,939.4082431864831,0.050096927728242105
High,architecture_B,6,841.0953720737243,0.0500995691968482
High,architecture_B,7,962.5621668992451,0.0500853888880843
High,architecture_B,8,729.8258315254875,0.0501293580942432
High,architecture_B,9,815.3699492362077,0.0501200903162509
High,architecture_B,10,793.876815377783,0.0500028315896853
High,architecture_B,11,848.5886343868108,0.0502017325446115
High,architecture_B,12,760.6754312948533,0.0500747280727887
High,architecture_B,13,918.4519305533711,0.050127040196433596
High,architecture_B,14,919.2148299699081,0.0500151541178196
High,architecture_B,15,923.2759743613381,0.0500875493792947
High,architecture_B,16,961.1509594669881,0.050093093698577
High,architecture_B,17,920.4124250561326,0.0500646882744152
High,architecture_B,18,924.6385488101595,0.0501047306176535
High,architecture_B,19,896.1912486307125,0.050120110062538095
High,architecture_B,20,731.3364707779001,0.050107470627519496
High,architecture_B,21,950.455533138347,0.0500775074510327
High,architecture_B,22,994.1363477636412,0.0500431246834365
High,architecture_B,23,985.6251825498534,0.050083948556581596
High,architecture_B,24,895.1225928546525,0.0500325544236626
High,architecture_B,25,858.9303410164453,0.0500938254976588
High,architecture_B,26,937.9359916571399,0.0500933204205527
High,architecture_B,27,814.3716290295113,0.050088033382166504
High,architecture_B,28,982.8045944648779,0.0500671699603804
High,architecture_B,29,958.6263533396226,0.0500747375945666
High,architecture_B,30,938.7121430414693,0.0500884104405434
High,architecture_B,31,878.5015803277897,0.0500838371123924
High,architecture_B,32,952.9835325091643,0.0501227773878289
High,architecture_B,33,880.622436535209,0.0501044811943049
High,architecture_B,34,1033.9916992514181,0.050060215308586
High,architecture_B,35,895.4548280685557,0.0501247531015458
High,architecture_B,36,917.3832238662383,0.0500512429126972
High,architecture_B,37,972.9242964029073,0.0500799262054923
High,architecture_B,38,1008.0720079893467,0.0500141279768813
High,architecture_B,39,813.7122390654554,0.050112830618412
High,architecture_B,40,895.8725805496927,0.0500323787023103
High,architecture_B,41,879.9452561808107,0.0501410339232765
High,architecture_B,42,807.9553802387323,0.0500394894992378
High,architecture_B,43,772.5768705743085,0.0501688161754452
High,architecture_B,44,796.690495770514,0.0501300689639243
High,architecture_B,45,960.1364898580712,0.0500519465188704
High,architecture_B,46,847.648375479268,0.0500798989779177
High,architecture_B,47,890.0710009408024,0.050095207968553795
High,architecture_B,48,919.6235008934293,0.0501245964438647
High,architecture_B,49,978.535660620465,0.0501057856096502
High,architecture_B,50,990.0662297297266,0.0500804684163148
High,architecture_B,51,794.9834504837954,0.0500759597009976
High,architecture_B,52,897.5428894250066,0.0500227495959558
High,architecture_B,53,940.1284168485499,0.0501144752587135
High,architecture_B,54,850.0947706349153,0.0500664609815241
High,architecture_B,55,971.2796398431634,0.0501332689014907
High,architecture_B,56,953.1826063716777,0.0500450620292803
High,architecture_B,57,844.3023627103344,0.0500645072521607
High,architecture_B,58,859.2067531782745,0.050089205448321204
High,architecture_B,59,1006.3245918984512,0.0501956953819162
High,architecture_B,60,757.6283695046352,0.0500647703222009
High,architecture_B,61,908.1653080273588,0.049992196640921305
High,architecture_B,62,952.6242386828625,0.0500829990922952
High,architecture_B,63,914.3562866188026,0.0500284506449224
High,architecture_B,64,825.9022009847992,0.050104242255757096
High,architecture_B,65,986.4074002180314,0.0500671916012767
High,architecture_B,66,888.3728392211839,0.0500962358353218
High,architecture_B,67,897.7144061224394,0.0501059967886771
High,architecture_B,68,875.7917873545241,0.0501414471761194
High,architecture_B,69,891.8595889794236,0.050099850859681
High,architecture_B,70,965.4913527526068,0.0500538116682254
High,architecture_B,71,850.3343825255447,0.0500896390438686
High,architecture_B,72,887.9739449506161,0.0500905765859225
High,architecture_B,73,965.1402473419987,0.050073690006715195
High,architecture_B,74,912.2569748821405,0.0500627218243112
High,architecture_B,75,937.4971862430202,0.050086833391657
High,architecture_B,76,960.2249136438559,0.0501157260570551
High,architecture_B,77,910.4547815579498,0.0500502247774889
High,architecture_B,78,951.019143938719,0.05003271541268629
High,architecture_B,79,825.3921946396691,0.050049019589603796
High,architecture_B,80,924.060123930905,0.0500642278587514
High,architecture_B,81,862.2983116615471,0.0500923228452648
High,architecture_B,82,921.2463388054614,0.0500777011379546
High,architecture_B,83,893.1134711407947,0.0500564113470816
High,architecture_B,84,882.8155104133747,0.0500365129399049
High,architecture_B,85,808.5006033998864,0.050107473314637996
High,architecture_B,86,942.6274569437219,0.0501537975002443
High,architecture_B,87,867.0837089954869,0.0500792520812647
High,architecture_B,88,835.7555413612425,0.0500922155133
High,architecture_B,89,934.0397268498449,0.0501232049123534
High,architecture_B,90,911.2061709340184,0.0500259931622866
High,architecture_B,91,908.0419199770853,0.0500889230220473
High,architecture_B,92,899.5082303761151,0.0501078584670832
High,architecture_B,93,833.5117538280185,0.05003941904552
High,architecture_B,94,872.3786565460298,0.0501131564590614
High,architecture_B,95,868.0085034669556,0.0500375570425575
High,architecture_B,96,832.3991669050423,0.0500598558924148
High,architecture_B,97,854.7395421602979,0.0500905527711905
High,architecture_B,98,887.3383007367743,0.050103405817599596
High,architecture_B,99,927.1157331545146,0.0501108389168289
High,architecture_B,100,899.7436937377165,0.0500719653773291
High,architecture_C,1,938.5364591175487,0.0501027294417169
High,architecture_C,2,916.6899023744726,0.0500821390860684
High,architecture_C,3,939.2032535188937,0.050104164537303
High,architecture_C,4,875.7156242699054,0.0500947588638107
High,architecture_C,5,875.7059007932495,0.0501254774550559
High,architecture_C,6,899.732502743866,0.050040600340908896
High,architecture_C,7,932.5368924989538,0.0500560496112844
High,architecture_C,8,932.4922867167052,0.0501326120937791
High,architecture_C,9,828.7613193963873,0.0501339920672345
High,architecture_C,10,839.931882089041,0.0501497404852557
High,architecture_C,11,942.1353862253696,0.0501251505702067
High,architecture_C,12,909.3247466054579,0.0501069019822413
High,architecture_C,13,891.8177742449308,0.050077504155772
High,architecture_C,14,905.2452725698679,0.050106892380049
High,architecture_C,15,958.2063534672368,0.0500565722316644
High,architecture_C,16,876.696399723458,0.050047215088888306
High,architecture_C,17,918.7119756868533,0.0501345549910047
High,architecture_C,18,931.0936930015998,0.050161475181246896
High,architecture_C,19,884.7682993393082,0.050096419409948495
High,architecture_C,20,843.8786193590182,0.0501499827205435
High,architecture_C,21,947.4379031155843,0.0500914416361778
High,architecture_C,22,856.4920302076744,0.0501073861818086
High,architecture_C,23,867.9693554072601,0.0501057993186438
High,architecture_C,24,906.3161935223512,0.0501109753630673
High,architecture_C,25,914.4256687480549,0.0500181864896316
High,architecture_C,26,958.2499634401789,0.050113566943910004
High,architecture_C,27,888.0066623447826,0.0500627982677711
High,architecture_C,28,940.5820772439074,0.0501117485207733
High,architecture_C,29,914.6416950278158,0.050111409902006104
High,architecture_C,30,983.4861787544514,0.0500384285147849
High,architecture_C,31,840.006730530827,0.050103166374001
High,architecture_C,32,898.6470344868449,0.0501157166329429
High,architecture_C,33,967.9991931979839,0.050048036348223204
High,architecture_C,34,924.5582525803084,0.0501212873595474
High,architecture_C,35,910.9370184916575,0.050057744039055496
High,architecture_C,36,931.4870920101221,0.0500138608481174
High,architecture_C,37,889.1559553436578,0.050095025312036696
High,architecture_C,38,912.5368170081135,0.0501074931459896
High,architecture_C,39,901.1345737582919,0.0501237988928582
High,architecture_C,40,937.2205587878419,0.0500796359237747
High,architecture_C,41,924.3001652875837,0.0501159986699685
High,architecture_C,42,1007.3342233931482,0.0500902467762763
High,architecture_C,43,954.3276595141857,0.0502196423589603
High,architecture_C,44,881.0546710923134,0.0501177146724715
High,architecture_C,45,911.4252058465878,0.0500869886226682
High,architecture_C,46,924.3201336882165,0.0501086994803426
High,architecture_C,47,891.1574417955519,0.050037968209468604
High,architecture_C,48,950.3477388476268,0.050111789820566
High,architecture_C,49,903.9078910852127,0.0501128881018366
High,architecture_C,50,892.3555097430998,0.0501205535031322
High,architecture_C,51,922.4170831184227,0.0500955291843341
High,architecture_C,52,967.5296942952275,0.0500859536606244
High,architecture_C,53,960.1349798799397,0.0500395624639998
High,architecture_C,54,887.8273632064929,0.0500558385280045
High,architecture_C,55,959.9228783329577,0.0501022897838678
High,architecture_C,56,1027.7168498510414,0.0500576579940515
High,architecture_C,57,955.1398964072705,0.0500887227542854
High,architecture_C,58,910.9153237782922,0.0500869235379994
High,architecture_C,59,881.6488694291249,0.0501362861553107
High,architecture_C,60,875.5635399323772,0.0500977541166845
High,architecture_C,61,876.3759534397915,0.0501582262773391
High,architecture_C,62,950.9326355822063,0.0500721315915596
