density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2]
Low,architecture_A,1,1139.8856558152577,0.0458764404880367
Low,architecture_A,2,1154.0248057783506,0.0458391083283387
Low,architecture_A,3,1081.9439619718037,0.0458427899623936
Low,architecture_A,4,1154.6568825391912,0.0458341977028606
Low,architecture_A,5,1137.4586687767658,0.0458435389665044
Low,architecture_A,6,1179.4157638243953,0.0458688660029204
Low,architecture_A,7,1175.5238080741456,0.0458916689107047
Low,architecture_A,8,1185.459306895812,0.0458770214760497
Low,architecture_A,9,1140.0339096080995,0.0459062372996877
Low,architecture_A,10,1187.376011567007,0.0458338310621382
Low,architecture_A,11,1216.898255163888,0.04588190635416
Low,architecture_A,12,1217.8484750464447,0.0458253348974097
Low,architecture_A,13,1208.5960540729363,0.0458473806000632
Low,architecture_A,14,1194.9879307913295,0.0458860873460558
Low,architecture_A,15,1168.0145048227612,0.045877177614646
Low,architecture_A,16,1131.1666734117753,0.0458930578214162
Low,architecture_A,17,1182.0993949384851,0.0458233848141018
Low,architecture_A,18,1217.6762969981146,0.0459132226693622
Low,architecture_A,19,1217.2632389913138,0.045861800288124
Low,architecture_A,20,1177.6712517296578,0.0458197519122666
Low,architecture_A,21,1129.9405723448956,0.0458949451423874
Low,architecture_A,22,1273.6864635156878,0.0458616861937452
Low,architecture_A,23,1146.692854000558,0.0458290505067677
Low,architecture_A,24,1148.2057640425924,0.0458821675197489
Low,architecture_A,25,1200.0532145591114,0.0458565686844578
Low,architecture_A,26,1144.0538759595768,0.0458326103925339
Low,architecture_A,28,1193.9683736349366,0.0459011249649096
Low,architecture_A,29,1136.3220536025271,0.0458959948607104
Low,architecture_A,30,1173.938431591639,0.0458612952420692
Low,architecture_A,31,1191.5739272999044,0.0459064561997332
Low,architecture_A,32,1115.5004526689545,0.0458239082483244
Low,architecture_A,33,1172.659388155663,0.0458735637808576
Low,architecture_A,34,1136.6811994428604,0.0459166992539523
Low,architecture_A,35,1223.4756409368356,0.045824151347701
Low,architecture_A,36,1210.5301338818097,0.0458625777445812
Low,architecture_A,37,1151.492954341102,0.0458810125262586
Low,architecture_A,38,1117.327027023456,0.0458411341440079
Low,architecture_A,39,1224.632288705201,0.0458252708479807
Low,architecture_A,40,1174.2312217485508,0.0458727603941911
Low,architecture_A,41,1249.680185724102,0.0458860826290272
Low,architecture_A,42,1185.390322472933,0.0458433616840234
Low,architecture_A,43,1184.7828517183614,0.0458361604889584
Low,architecture_A,44,1192.0640220127952,0.0458871680573101
Low,architecture_A,45,1210.0219227007503,0.0459121640961961
Low,architecture_A,46,1223.5410203290016,0.0458457657907997
Low,architecture_A,47,1191.7388312447447,0.0458560071780082
Low,architecture_A,48,1188.6472309865237,0.0458960263732038
Low,architecture_A,49,1137.8638449390307,0.045856505063136
Low,architecture_A,50,1154.0950330365242,0.0458799250761056
Low,architecture_A,51,1175.0531736173698,0.0458950075219823
Low,architecture_A,52,1189.998490796713,0.045897201979028
Low,architecture_A,53,1127.8010528609652,0.0458540613191512
Low,architecture_A,54,1116.5581924119838,0.0458828636436338
Low,architecture_A,55,1194.365792242755,0.0459030183850907
Low,architecture_A,56,1214.7098312354676,0.045871785061125
Low,architecture_A,57,1181.5561542957207,0.0459135626775676
Low,architecture_A,58,1120.826853863029,0.0459123931246179
Low,architecture_A,59,1160.380540730878,0.0458124465018442
Low,architecture_A,60,1202.2476029393629,0.0459014872164787
Low,architecture_A,61,1085.1034740108523,0.0458550257889118
Low,architecture_A,62,1103.532081621402,0.045813136893357
Low,architecture_A,63,1120.5216463965464,0.0458839522041323
Low,architecture_A,64,1172.3149591977988,0.0458490806139532
Low,architecture_A,65,1173.5179969808182,0.0458138561923755
Low,architecture_A,66,1178.5635285901485,0.0459126497895977
Low,architecture_A,67,1233.544079536954,0.0458100851573314
Low,architecture_A,68,1202.9196581404922,0.0458703443004976
Low,architecture_A,69,1164.090547978989,0.0458901094925843
Low,architecture_A,70,1192.7005939829817,0.04583435348659
Low,architecture_A,71,1141.3661154431124,0.0458569720385883
Low,architecture_A,72,1176.6989871664828,0.0458423166259816
Low,architecture_A,73,1138.9652924238867,0.0458676668459017
Low,architecture_A,74,1153.8836160488677,0.0459096435040302
Low,architecture_A,75,1248.3399522278764,0.0458872714390157
Low,architecture_A,76,1179.4366420346732,0.0458801280508436
Low,architecture_A,77,1156.6707420088508,0.0459193257911339
Low,architecture_A,78,1167.4166703296803,0.0458828038376414
Low,architecture_A,79,1230.1118919009823,0.0458483811683576
Low,architecture_A,80,1236.7492545392097,0.0458351441050873
Low,architecture_A,81,1108.480141945534,0.0458778318606212
Low,architecture_A,82,1105.8790507009803,0.0458964117150132
Low,architecture_A,83,1132.6443677909772,0.0458427896695918
Low,architecture_A,84,1102.0992397097623,0.0458662911216556
Low,architecture_A,85,1146.9919690312136,0.0458638471316536
Low,architecture_A,86,1206.5420195607694,0.0458861301028203
Low,architecture_A,87,1212.957791399064,0.045857259004488
Low,architecture_A,88,1150.653743029047,0.0458293193770512
Low,architecture_A,89,1142.7721439908908,0.0458283562764331
Low,architecture_A,90,1192.777521372971,0.045906014424598
Low,architecture_A,91,1153.8085202303723,0.0458947623435396
Low,architecture_A,92,1113.549808212029,0.0458525625903632
Low,architecture_A,93,1206.5476164958627,0.0458364676383329
Low,architecture_A,94,1159.906391133875,0.0458347521049727
Low,architecture_A,95,1221.12589805886,0.0458943027019237
Low,architecture_A,96,1177.5061073578354,0.0458160197936531
Low,architecture_A,97,1236.8477530471905,0.0458387294999989
Low,architecture_A,98,1185.733272759054,0.0458034994955341
Low,architecture_A,99,1228.1132423200952,0.0458828475882735
Low,architecture_A,100,1271.9366791380714,0.0458881908745019
Low,architecture_B,1,1240.6205550222012,0.0458504650462965
Low,architecture_B,2,1261.264923989397,0.0458073235925881
Low,architecture_B,3,1258.1016653426288,0.0458339182204161
Low,architecture_B,4,1270.748854807547,0.0458658565255406
Low,architecture_B,5,1357.1563423756415,0.045881152387412
Low,architecture_B,6,1196.6736960683788,0.0458570436106337
Low,architecture_B,7,1275.39623304395,0.0458512401838107
Low,architecture_B,9,1245.4108857569674,0.0458831110203603
Low,architecture_B,10,1225.6403306758275,0.0458223134115944
Low,architecture_B,11,1233.6800035003346,0.045907192756502
Low,architecture_B,12,1222.2632132085898,0.0458727124332432
Low,architecture_B,13,1266.6917635214918,0.0458511483433586
Low,architecture_B,14,1299.325551425117,0.0458811371452407
Low,architecture_B,15,1158.1524262309176,0.0458763121050154
Low,architecture_B,16,1274.7563116752424,0.0459033710371466
Low,architecture_B,17,1231.4055100465305,0.0458904010934668
Low,architecture_B,18,1175.2098829217905,0.045823475865952
Low,architecture_B,19,1322.9441104455332,0.0458805863634141
Low,architecture_B,20,1195.8991998024692,0.0458606235909749
Low,architecture_B,21,1173.127091699144,0.0458168957967609
Low,architecture_B,22,1195.9692667705644,0.0458580469973614
Low,architecture_B,23,1214.3482438788233,0.0459359187254602
Low,architecture_B,24,1252.7758171387563,0.0458360577979566
Low,architecture_B,25,1286.588605841049,0.0458246681531368
Low,architecture_B,26,1286.6375180651462,0.0458433228772219
Low,architecture_B,27,1283.8680856228834,0.0458028819166983
Low,architecture_B,28,1260.4418663476931,0.0459047272174929
Low,architecture_B,29,1221.2231985774815,0.0458251531387606
Low,architecture_B,30,1255.974582533178,0.0458867089828789
Low,architecture_B,31,1151.0425687299817,0.0458350498848505
Low,architecture_B,32,1224.2493625656316,0.0458262015039418
Low,architecture_B,33,1243.8621428593297,0.0458642168321236
Low,architecture_B,34,1308.456679873712,0.0457930469313233
Low,architecture_B,35,1230.1188482303553,0.0458811120376444
Low,architecture_B,36,1326.2822434107602,0.0458766090016248
Low,architecture_B,37,1237.184475641144,0.0459074647446398
Low,architecture_B,38,1238.0126714132073,0.0458149979968882
Low,architecture_B,39,1273.2573614174198,0.0458667206431167
Low,architecture_B,40,1230.956875652584,0.0458904002013575
Low,architecture_B,41,1187.848686947976,0.0458580092729564
Low,architecture_B,42,1318.5609144963005,0.0458828194096832
Low,architecture_B,43,1280.2329422198784,0.0458514955976069
Low,architecture_B,44,1173.392889326484,0.0458084543142804
Low,architecture_B,45,1249.9529590526631,0.0458589532278356
Low,architecture_B,46,1339.7815749241202,0.0458689277635888
Low,architecture_B,47,1293.1168382567255,0.0458206796481359
Low,architecture_B,48,1287.4631183576507,0.0458568428493787
Low,architecture_B,49,1255.8360571642197,0.0458463039623737
Low,architecture_B,50,1296.146003708944,0.0458565011246781
Low,architecture_B,51,1186.226497318401,0.045849365525749
Low,architecture_B,52,1279.3693260668076,0.045923739378187
Low,architecture_B,53,1283.7714698765983,0.0458176782973266
Low,architecture_B,54,1279.5548422925103,0.0458855193840188
Low,architecture_B,55,1302.2695284436766,0.0458223938286044
Low,architecture_B,56,1215.452605149346,0.045890922840943
Low,architecture_B,57,1221.0161918579447,0.045883336698569
Low,architecture_B,58,1205.6361641712892,0.0457745801074932
Low,architecture_B,59,1251.5372588244563,0.0458269455310741
Low,architecture_B,60,1300.82067779782,0.0458108208184767
Low,architecture_B,61,1242.060223142875,0.0458629901275571
Low,architecture_B,62,1294.298614491115,0.0458820134566727
Low,architecture_B,63,1199.4277916947954,0.0458361138027054
Low,architecture_B,64,1217.9472655403013,0.0458556285153571
Low,architecture_B,65,1246.751600705673,0.0457965204074874
Low,architecture_B,66,1255.4520362631276,0.045852156247307
Low,architecture_B,67,1266.0602494889044,0.0458646518902398
Low,architecture_B,68,1256.9354457255904,0.0459021076513453
Low,architecture_B,69,1287.815347268515,0.0458686476941926
Low,architecture_B,70,1165.9922636143367,0.0458582436300249
Low,architecture_B,71,1263.646119908146,0.0459036153555022
