density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
High,architectureA,10,1,0.0035491466207251336,22.982561537165623
High,architectureA,10,2,0.006162952304848267,9.797345789729281
High,architectureA,10,3,0.00732769287366005,13.006444299174461
High,architectureA,10,4,0.007749287851399916,22.310965024157742
High,architectureA,10,5,0.00863126815633815,55.101823798091694
High,architectureA,10,6,0.006830963741123783,91.68089834580427
High,architectureA,10,7,0.004968732002363267,144.64874138854435
High,architectureA,10,8,0.0018123073319519332,171.44112166528257
High,architectureA,10,9,0.0004736508047761009,211.48781387221285
High,architectureA,10,10,0.0003859663483639359,210.3539558819226
High,architectureB,10,1,0.003558393928045267,18.62937221676935
High,architectureB,10,2,0.006159313769903751,13.03918097313503
High,architectureB,10,3,0.007346733249142617,11.139616237525365
High,architectureB,10,4,0.0077194576993388,20.797467128193876
High,architectureB,10,5,0.008639903604025133,57.036242433865006
High,architectureB,10,6,0.006856628049113317,62.06143449358823
High,architectureB,10,7,0.0049479733666578166,117.70303822155482
High,architectureB,10,8,0.00181328124477565,135.2067011149513
High,architectureB,10,9,0.00046174215660737557,210.60401837963227
High,architectureB,10,10,0.0003859663483639359,239.20269919594782
High,architectureC,10,1,0.0035642316208852835,27.00036475342473
High,architectureC,10,2,0.0061857630118665,19.27721731994966
High,architectureC,10,3,0.0073320260263916165,21.298271479035993
High,architectureC,10,4,0.0077366563090287,33.24807218395774
High,architectureC,10,5,0.008625437188553867,57.92880841504317
High,architectureC,10,6,0.00685575113580705,96.72264560118948
High,architectureC,10,7,0.004990927318408283,121.20738649766714
High,architectureC,10,8,0.0018257402735766,106.1686200253054
High,architectureC,10,9,0.0004625848559882821,141.82478227773075
High,architectureC,10,10,0.0003859663483639359,181.3672102249951
High,architectureD,10,1,0.00355374931696645,9.824847175467474
High,architectureD,10,2,0.006167274776048083,11.608429386734828
High,architectureD,10,3,0.0073349118955044505,11.534381998780864
High,architectureD,10,4,0.007754134117471216,25.256089734479314
High,architectureD,10,5,0.008645124856981051,30.52150396908586
High,architectureD,10,6,0.006844863490087717,80.77197846363417
High,architectureD,10,7,0.004953692806416117,161.64882399677848
High,architectureD,10,8,0.0017929422727414668,182.02881512784907
High,architectureD,10,9,0.00046871561975611077,240.28976562256537
High,architectureD,10,10,0.0003859663483639359,264.3955080123546
High,architectureE,10,1,0.00355837260259275,3.941010091480377
High,architectureE,10,2,0.006184285646504366,5.468372340285285
High,architectureE,10,3,0.0073297811494699334,9.694037475233385
High,architectureE,10,4,0.007736741783649851,21.757243310625544
High,architectureE,10,5,0.008644469644897233,33.877318186426535
High,architectureE,10,6,0.006843929002586883,64.34357350878601
High,architectureE,10,7,0.004970577589755733,120.98266079099517
High,architectureE,10,8,0.0018244804842341,184.83094476101985
High,architectureE,10,9,0.0004616070640217395,207.7867565009242
High,architectureE,10,10,0.0003859663483639359,249.91371448807072
High,control,10,1,0.0035560417283429335,14.575605427434487
High,control,10,2,0.006179292434396018,7.800494102744935
High,control,10,3,0.007315889096953733,11.39213907892375
High,control,10,4,0.007742667679879617,21.646607182274717
High,control,10,5,0.0086305295646101,88.62905837559754
High,control,10,6,0.006828388123131,86.92227278552865
High,control,10,7,0.0049784397888638,87.2979059144797
High,control,10,8,0.0018259067241118167,133.4975396587357
High,control,10,9,0.00047365804360258515,159.70801319707908
High,control,10,10,0.0003859663483639359,219.86144884394434
High,architectureA,11,1,0.003550766769414517,24.02129089359171
High,architectureA,11,2,0.0061707339455608,10.777603902436775
High,architectureA,11,3,0.007335214827347634,28.232548009912193
High,architectureA,11,4,0.0077679227569608334,32.98380015035922
High,architectureA,11,5,0.008636270985337367,59.830728105372394
High,architectureA,11,6,0.006848826068511084,108.81909274026945
High,architectureA,11,7,0.0050055000639649,161.73806873570385
High,architectureA,11,8,0.00178514959106365,145.78054076494914
High,architectureA,11,9,0.00046206395453477064,187.08486755723789
High,architectureA,11,10,0.0003859663483639359,206.66278863087416
High,architectureB,11,1,0.0035583811921341833,10.020849108485177
High,architectureB,11,2,0.006175021879020501,6.074995663877975
High,architectureB,11,3,0.007323852046193683,18.058786736786058
High,architectureB,11,4,0.007740254917375099,43.14659748877752
High,architectureB,11,5,0.008627417522756782,48.50321723355398
High,architectureB,11,6,0.006857446101789033,73.3569321383345
High,architectureB,11,7,0.0049847106932562335,114.966294502401
High,architectureB,11,8,0.0018360327923698002,129.56158355628415
High,architectureB,11,9,0.00045785013417154826,182.78042820746091
High,architectureB,11,10,0.0003859663483639359,244.97493811007266
High,architectureC,11,1,0.003555054157150033,25.794096375568966
High,architectureC,11,2,0.006171925282426033,20.80852966035249
High,architectureC,11,3,0.0073239816209896835,26.75615073528557
High,architectureC,11,4,0.007735274563399583,33.93980797426096
High,architectureC,11,5,0.008622117323771232,81.87954159361642
High,architectureC,11,6,0.00684114919380725,94.03706036528399
High,architectureC,11,7,0.00498367306457595,129.00040604482902
High,architectureC,11,8,0.0018432352506359666,126.28068886396447
High,architectureC,11,9,0.0004491386846540831,163.42169313509848
High,architectureC,11,10,0.0003859663483639359,194.74865748360924
