density,architecture,repetition,absorbedPAR_umol_m2_s1
High,architectureA,10,7.291894681958243
High,architectureB,10,9.151478950488062
High,architectureC,10,11.233516073552925
High,architectureD,10,2.411667778676973
High,architectureE,10,13.563848158433416
High,control,10,6.192001484885017
High,architectureA,11,7.302864952813876
High,architectureB,11,2.4851311308396506
High,architectureC,11,7.645582009089529
High,architectureD,11,1.0712722190860033
High,architectureE,11,10.658290166954494
High,control,11,9.343268425872633
High,architectureA,12,8.743258860565179
High,architectureB,12,7.124856300042935
High,architectureC,12,8.589068840380179
High,architectureD,12,4.127866937975649
High,architectureE,12,15.812013345927994
High,control,12,9.944781588471798
High,architectureA,13,4.568712311498869
High,architectureB,13,4.323539306095328
High,architectureC,13,8.463043081993842
High,architectureD,13,2.7131299034784533
High,architectureE,13,12.820774525764982
High,control,13,7.066883035954183
High,architectureA,14,5.576751793126108
High,architectureB,14,7.387378647356179
High,architectureC,14,11.850930796547745
High,architectureD,14,1.915730159142939
High,architectureE,14,16.537237658305155
High,control,14,4.144999984090745
High,architectureA,15,5.716430273130148
High,architectureB,15,4.890718358470093
High,architectureC,15,7.922478400399158
High,architectureD,15,1.7956988474566278
High,architectureE,15,11.414078962063897
High,control,15,6.0969067463749615
High,architectureA,16,6.223653617422228
High,architectureB,16,3.9427082603754866
High,architectureC,16,12.88852213553231
High,architectureD,16,3.2964430164409806
High,architectureE,16,14.830644954341583
High,control,16,5.821773970173972
High,architectureA,17,5.448476682342222
High,architectureB,17,2.5052415474670524
High,architectureC,17,4.408907691301747
High,architectureD,17,2.22097117839906
High,architectureE,17,7.827713678308076
High,control,17,7.544548142500007
High,architectureA,18,3.312959923089326
High,architectureB,18,4.42279521535384
High,architectureC,18,9.091018848355331
High,architectureD,18,2.761388911830924
High,architectureE,18,6.879235226647589
High,control,18,5.784301531609303
High,architectureA,19,3.8950787449931865
High,architectureB,19,8.70074283207927
High,architectureC,19,9.65046338723087
High,architectureD,19,5.992926392137976
High,architectureE,19,12.015250753988129
High,control,19,6.987255852895546
High,architectureA,1,4.898922015073287
High,architectureB,1,3.561779675640321
High,architectureC,1,11.184164109020339
High,architectureD,1,3.7598386669148303
High,architectureE,1,12.727270159706196
High,control,1,4.258303403891452
High,architectureA,20,5.752773179441512
High,architectureB,20,4.952671548014086
High,architectureC,20,14.115130119330852
High,architectureD,20,2.910094103453677
High,architectureE,20,16.2617408765009
High,control,20,3.776631907868629
High,architectureA,2,4.249173545753019
High,architectureB,2,5.605234893844221
High,architectureC,2,11.393945582999793
High,architectureD,2,3.4900150060015713
High,architectureE,2,18.97647638887279
High,control,2,3.040020504565408
High,architectureA,3,4.8747177763603045
High,architectureB,3,7.9882795766410135
High,architectureC,3,9.183309738686571
High,architectureD,3,2.295136846626438
High,architectureE,3,12.138219043644726
High,control,3,2.8823497265556415
High,architectureA,4,2.8494134913490288
High,architectureB,4,2.8428430251406347
High,architectureC,4,11.586203880935058
High,architectureD,4,3.0951796432860275
High,architectureE,4,17.97046681442647
High,control,4,5.856515457214885
High,architectureA,5,3.7539730122317163
High,architectureB,5,4.911710700291674
High,architectureC,5,9.091740817474388
High,architectureD,5,0.8149494213377401
High,architectureE,5,10.054435176642194
High,control,5,5.961700179574181
High,architectureA,6,4.960079824586036
High,architectureB,6,6.515688876204163
High,architectureC,6,8.593225367856382
High,architectureD,6,1.996182250868288
High,architectureE,6,8.485478905330893
High,control,6,7.782567353337468
High,architectureA,7,5.917449560371522
High,architectureB,7,5.447515562273058
High,architectureC,7,12.30202423989667
High,architectureD,7,2.436700756261439
High,architectureE,7,9.159794819497323
High,control,7,8.43577744585768
High,architectureA,8,1.9689372907551927
High,architectureB,8,5.1672416800617755
High,architectureC,8,15.020821949110683
High,architectureD,8,1.8479311007425143
High,architectureE,8,6.284868671283743
High,control,8,8.122761781347034
High,architectureA,9,5.232980722304951
High,architectureB,9,7.315432579018511
High,architectureC,9,8.636923742700427
High,architectureD,9,3.711894282075474
High,architectureE,9,8.35133361050186
High,control,9,5.277846900998554
