density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
Low,architectureA,10,1,0.0035558580161325834,46.39012455368066
Low,architectureA,10,2,0.006148154293762716,22.84684219814798
Low,architectureA,10,3,0.0072960880946411,32.63030729382496
Low,architectureA,10,4,0.007730825174542783,64.2521664977288
Low,architectureA,10,5,0.008622232466777633,92.80015962281128
Low,architectureA,10,6,0.006797469873538284,140.41267402440857
Low,architectureA,10,7,0.005007426388295416,152.62552903735877
Low,architectureA,10,8,0.0018310286058498668,194.02891198448108
Low,architectureA,10,9,0.0004529128528138001,215.9280618613609
Low,architectureA,10,10,0.0003368119115023402,164.8714487816562
Low,architectureB,10,1,0.0035493024440241,42.16911470770615
Low,architectureB,10,2,0.006157582262771717,30.57949830845598
Low,architectureB,10,3,0.007291344391190217,34.35759371954277
Low,architectureB,10,4,0.00780028633115385,70.20879926809774
Low,architectureB,10,5,0.008611012983130299,86.61631022814602
Low,architectureB,10,6,0.00680176484457655,97.42128411350433
Low,architectureB,10,7,0.004998997614384783,151.28845603947542
Low,architectureB,10,8,0.0018383882456719167,193.38155497746448
Low,architectureB,10,9,0.00046515425537874334,220.57929288927073
Low,architectureB,10,10,0.0003385911095573197,227.32996182981847
Low,architectureC,10,1,0.0035497452403350665,57.68371331973517
Low,architectureC,10,2,0.0061381325946048325,38.70847553315637
Low,architectureC,10,3,0.007320680513915934,32.745143294734255
Low,architectureC,10,4,0.007721045327742117,59.82035980235943
Low,architectureC,10,5,0.008626917875379433,110.4325459317647
Low,architectureC,10,6,0.006789298916026116,102.04641986254832
Low,architectureC,10,7,0.0050003520917657335,154.15908372226394
Low,architectureC,10,8,0.0018437524826721832,134.79930107581635
Low,architectureC,10,9,0.00047044828182061463,155.4196278619246
Low,architectureC,10,10,0.00033853604019723726,186.93758649550014
Low,architectureD,10,1,0.0035609708316800166,40.07817789036523
Low,architectureD,10,2,0.0061419945515222,26.87008759583398
Low,architectureD,10,3,0.007291793680232383,23.78982022544078
Low,architectureD,10,4,0.0077576191896590665,42.67757243250065
Low,architectureD,10,5,0.0085927486433412,79.07827513356744
Low,architectureD,10,6,0.006784531741107433,137.5322508185744
Low,architectureD,10,7,0.0049877227798335,162.5162166155857
Low,architectureD,10,8,0.0018174927622881833,212.39886868815242
Low,architectureD,10,9,0.0004623440129460023,248.48848255287376
Low,architectureD,10,10,0.0003390432654071446,195.39281101981214
Low,architectureE,10,1,0.0035541825113451666,12.47133064512878
Low,architectureE,10,2,0.006137001400623583,20.555151885688357
Low,architectureE,10,3,0.007298934781942633,21.145668187822245
Low,architectureE,10,4,0.007727716578203166,31.454678617410167
Low,architectureE,10,5,0.008613480590155499,73.17381034094193
Low,architectureE,10,6,0.006778668396507234,113.5564822639116
Low,architectureE,10,7,0.005018206811608033,165.0435740206987
Low,architectureE,10,8,0.0018205693248545167,196.51122019721916
Low,architectureE,10,9,0.00046479731565264516,215.8248924237008
Low,architectureE,10,10,0.0003391245020503332,204.74939552332046
Low,control,10,1,0.003564856557793183,36.01249942597372
Low,control,10,2,0.006141727441175383,27.236048946172303
Low,control,10,3,0.007298884468180767,35.603663987200875
Low,control,10,4,0.007721636934812918,57.56993466186429
Low,control,10,5,0.008609089803469083,133.90292243698818
Low,control,10,6,0.006798762729929583,155.16353215505868
Low,control,10,7,0.005014841225082017,135.61900235991547
Low,control,10,8,0.0018119196176938834,196.09850876470455
Low,control,10,9,0.00046806588424853565,215.10838542386523
Low,control,10,10,0.00033785562916043905,201.29635267323218
Low,architectureA,11,1,0.003561409264005283,50.05894169230004
Low,architectureA,11,2,0.006150697580412683,23.844140706045312
Low,architectureA,11,3,0.007296527290934933,32.37538910597499
Low,architectureA,11,4,0.007767600703097117,53.05427727757712
Low,architectureA,11,5,0.008611309492372184,95.76112823868282
Low,architectureA,11,6,0.006780786202864983,144.16234212151548
Low,architectureA,11,7,0.004995339495325233,169.12763918914354
Low,architectureA,11,8,0.0018432082053566666,161.35344844592723
Low,architectureA,11,9,0.0004654099961670743,216.02366530777851
Low,architectureA,11,10,0.0003396420947086334,184.62183646021302
Low,architectureB,11,1,0.0035578608176392666,47.83288011448828
Low,architectureB,11,2,0.0061418106898358,30.502123795696562
Low,architectureB,11,3,0.007296092561682117,36.937780544071124
Low,architectureB,11,4,0.007743170231291217,66.64274125199755
Low,architectureB,11,5,0.0086166705367225,96.44482649694471
Low,architectureB,11,6,0.006773096601138184,97.87814312567922
Low,architectureB,11,7,0.004996419717894833,151.09119651557225
Low,architectureB,11,8,0.0018320961609169168,119.1050398435887
Low,architectureB,11,9,0.0004613359648539498,217.52020491471777
Low,architectureB,11,10,0.0003377623377886587,192.5471546642923
Low,architectureC,11,1,0.003556390787251333,52.17780412053752
Low,architectureC,11,2,0.006149409905695051,36.50725007534401
Low,architectureC,11,3,0.0073053425684404495,42.859755445278886
Low,architectureC,11,4,0.007734554321501716,61.74133992069451
Low,architectureC,11,5,0.008604649696057417,107.2791858375913
Low,architectureC,11,6,0.006773524210803117,120.7527757164555
Low,architectureC,11,7,0.00500412081859925,157.00090090587324
Low,architectureC,11,8,0.0018368530617663666,153.8865259623657
Low,architectureC,11,9,0.00045919948842865644,178.0882290531338
Low,architectureC,11,10,0.00034002817104650127,129.26186058906566
Low,architectureD,11,1,0.003557743731155383,33.274795665514596
Low,architectureD,11,2,0.006139251044621899,33.436848412258584
Low,architectureD,11,3,0.0072836157809556675,19.765938292328116
Low,architectureD,11,4,0.007725687128819583,56.4788097883582
Low,architectureD,11,5,0.008620273828894666,86.4936742435192
Low,architectureD,11,6,0.006774157397944767,125.55571919192828
Low,architectureD,11,7,0.005006928839878583,170.27595508545735
Low,architectureD,11,8,0.0018427355832611335,200.99336156849586
Low,architectureD,11,9,0.00047406780853538415,235.10817531629723
Low,architectureD,11,10,0.00033919520237026137,207.00803848443925
Low,architectureE,11,1,0.0035559429198040835,12.475209746379212
Low,architectureE,11,2,0.006144057164987417,22.512021316787372
Low,architectureE,11,3,0.0073101797327403,26.801849473918463
Low,architectureE,11,4,0.007754342098005867,35.57960234667228
Low,architectureE,11,5,0.008628923485381733,48.19561296718009
Low,architectureE,11,6,0.006789653530833666,121.10419018357474
Low,architectureE,11,7,0.005003022154703384,158.81766656951342
Low,architectureE,11,8,0.00185903745473105,178.3767543594621
Low,architectureE,11,9,0.0004621987111361574,214.96892941420904
Low,architectureE,11,10,0.00033906106090224965,239.81883561500433
Low,control,11,1,0.00355782762590645,39.661389055222905
Low,control,11,2,0.006149905054422984,36.292275201876144
Low,control,11,3,0.007315866049477417,25.29550835067901
Low,control,11,4,0.0077592041861093836,68.36847659335895
Low,control,11,5,0.00860060224300215,102.74646336718426
Low,control,11,6,0.006788763143916433,139.77547138301983
Low,control,11,7,0.00500603620793285,130.6502685049321
Low,control,11,8,0.0018553209775064832,190.52948376422864
Low,control,11,9,0.0004623907718467858,195.25601500662984
Low,control,11,10,0.00034033368330369657,214.4921779670202
Low,architectureA,12,1,0.003558659901540083,30.873702239686796
Low,architectureA,12,2,0.006135347709824366,22.112001510694483
Low,architectureA,12,3,0.007300892436923533,31.30774458372021
Low,architectureA,12,4,0.00776285705133755,53.31096423699348
Low,architectureA,12,5,0.008611732609263466,109.68207567028874
Low,architectureA,12,6,0.006811051297490083,117.57504904518699
Low,architectureA,12,7,0.0050136067440475504,185.2276331288136
Low,architectureA,12,8,0.00185749365803805,193.48526918092827
Low,architectureA,12,9,0.0004658193976860236,218.41739695443593
Low,architectureA,12,10,0.0003393752273845435,158.78944039827417
Low,architectureB,12,1,0.00356203691940715,36.86474134094917
Low,architectureB,12,2,0.0061424866242686,34.773877887945616
Low,architectureB,12,3,0.007272617414349433,37.935563957814104
Low,architectureB,12,4,0.007755552364631567,46.837258786554834
Low,architectureB,12,5,0.008608800629475333,88.84105634745112
Low,architectureB,12,6,0.006808529172559884,93.58095879861146
Low,architectureB,12,7,0.005004651756579983,155.6577269385549
Low,architectureB,12,8,0.0018257833267391833,157.11096292754286
Low,architectureB,12,9,0.0004653365914643555,222.60072213372862
Low,architectureB,12,10,0.0003379678188536336,220.93569204529422
Low,architectureC,12,1,0.0035526114283560835,55.334138794204
Low,architectureC,12,2,0.006147767781614951,30.45644186826109
Low,architectureC,12,3,0.007294733478430383,42.492962332182415
Low,architectureC,12,4,0.0077358659403894,58.65384182795321
Low,architectureC,12,5,0.0085966915638342,82.60311689873247
Low,architectureC,12,6,0.00677239862762655,111.77443512239081
Low,architectureC,12,7,0.004998702128368783,148.47211276373326
Low,architectureC,12,8,0.0018330396787232166,123.20201313850873
Low,architectureC,12,9,0.0004795137131977907,171.87654126381415
Low,architectureC,12,10,0.00033958835383084265,163.07651337308664
Low,architectureD,12,1,0.0035583448331294996,45.62814856368965
Low,architectureD,12,2,0.00614941708489015,23.53598079494407
Low,architectureD,12,3,0.0073027457942904835,29.152392845229304
Low,architectureD,12,4,0.007698384250233317,54.393524055678796
Low,architectureD,12,5,0.008613711766545932,85.37431358138879
Low,architectureD,12,6,0.006811520690740967,103.03494263000341
Low,architectureD,12,7,0.0050007435013806,150.39531909966442
Low,architectureD,12,8,0.0018487857609119334,186.1815109125656
Low,architectureD,12,9,0.00046525014479287296,237.53186574939113
Low,architectureD,12,10,0.0003375122659267622,244.95678402419563
Low,architectureE,12,1,0.0035593864854247662,13.246469077941072
Low,architectureE,12,2,0.006142099684940834,16.787772145132127
Low,architectureE,12,3,0.0072966773558688,13.783183202408813
Low,architectureE,12,4,0.0077202531007161505,46.2939874206711
Low,architectureE,12,5,0.008624734344154566,72.3862731360381
Low,architectureE,12,6,0.0067663597213224,111.26297980656106
Low,architectureE,12,7,0.005007578428060666,160.9328441779539
Low,architectureE,12,8,0.0018447398066379333,179.4458333946546
Low,architectureE,12,9,0.0004618722033039514,236.81976223195133
Low,architectureE,12,10,0.00033941809223136905,194.24720437732208
Low,control,12,1,0.00356263043113225,35.32850619823328
Low,control,12,2,0.0061330460684519,26.22113812510629
Low,control,12,3,0.007302362172809384,39.10418532885171
Low,control,12,4,0.0077195465579696166,64.5896029469527
Low,control,12,5,0.008596785670877283,113.2270879036368
Low,control,12,6,0.006788045817514617,121.85999631104208
Low,control,12,7,0.004990755664742567,126.53581021579959
Low,control,12,8,0.0018388281607722,182.14693244749228
Low,control,12,9,0.00046108134906132163,211.1306670979267
Low,control,12,10,0.0003391707468419725,182.35454736695976
Low,architectureA,13,1,0.0035573740099066,43.23142902626765
Low,architectureA,13,2,0.006148476910359899,26.129408696179606
Low,architectureA,13,3,0.007311135373670767,25.511972154340413
Low,architectureA,13,4,0.007748053197333284,76.08713419582512
Low,architectureA,13,5,0.008613664245715084,87.00026020044326
Low,architectureA,13,6,0.006783511752770417,122.49108504552362
Low,architectureA,13,7,0.00499737779717455,169.39247093393166
Low,architectureA,13,8,0.0018333101128664667,163.16501778436876
Low,architectureA,13,9,0.000465719465635309,183.08907699096744
Low,architectureA,13,10,0.0003386667278070875,169.2297362949209
Low,architectureB,13,1,0.003556525903123133,53.96464669947958
Low,architectureB,13,2,0.006152653563186317,37.095516793312704
Low,architectureB,13,3,0.00730668240724435,29.49626205331157
Low,architectureB,13,4,0.007735497892326033,86.20356699022427
Low,architectureB,13,5,0.0086175305787404,90.7691898858801
Low,architectureB,13,6,0.00679011633978475,112.84370205197844
Low,architectureB,13,7,0.005028307489070866,132.61245396829312
Low,architectureB,13,8,0.001844574759879,152.26762373413013
Low,architectureB,13,9,0.00045500275150315845,221.34565202524087
