density,architecture,repetition,absorbedPAR_umol_m2_s1
Low,architectureA,10,23.545154131318597
Low,architectureB,10,22.469962025710934
Low,architectureC,10,31.35541385711958
Low,architectureD,10,9.888884377774016
Low,architectureE,10,34.572721731503414
Low,control,10,24.089294547072907
Low,architectureA,11,20.537115916760733
Low,architectureB,11,28.428450092888372
Low,architectureC,11,41.678002370663926
Low,architectureD,11,14.843737546761098
Low,architectureE,11,30.650779115218505
Low,control,11,27.2717941638297
Low,architectureA,12,12.584546497222625
Low,architectureB,12,27.85399117812151
Low,architectureC,12,30.520095639994715
Low,architectureD,12,10.36211979956946
Low,architectureE,12,41.031942323714
Low,control,12,16.548613223768267
Low,architectureA,13,16.663379609219604
Low,architectureB,13,25.7970577194431
Low,architectureC,13,41.12956503081368
Low,architectureD,13,10.403247941691866
Low,architectureE,13,28.100682492530186
Low,control,13,25.436276264586656
Low,architectureA,14,17.906583228868627
Low,architectureB,14,15.235374460805097
Low,architectureC,14,32.34536475599936
Low,architectureD,14,9.512838334502502
Low,architectureE,14,29.365070617073076
Low,control,14,17.315492502482094
Low,architectureA,15,24.711350736831374
Low,architectureB,15,31.432676255133984
Low,architectureC,15,36.2409790192669
Low,architectureD,15,14.634296424623495
Low,architectureE,15,37.61885146496453
Low,control,15,16.594964101994577
Low,architectureA,16,23.546009989537247
Low,architectureB,16,31.313731478184195
Low,architectureC,16,35.22906097510309
Low,architectureD,16,20.72081613293254
Low,architectureE,16,37.11693386913115
Low,control,16,19.664881223041863
Low,architectureA,17,18.681643007701823
Low,architectureB,17,12.518057451923879
Low,architectureC,17,32.74746624955913
Low,architectureD,17,22.796636767749234
Low,architectureE,17,41.475046183793566
Low,control,17,26.538712117197424
Low,architectureA,18,13.959079499212937
Low,architectureB,18,17.389333535965136
Low,architectureC,18,45.436843789791816
Low,architectureD,18,11.925776696256806
Low,architectureE,18,39.264967201874356
Low,control,18,20.886565579655077
Low,architectureA,19,23.90283633051293
Low,architectureB,19,30.533037650037745
Low,architectureC,19,40.7760870292777
Low,architectureD,19,7.350492624370186
Low,architectureE,19,39.34021457327212
Low,control,19,16.860473281495803
Low,architectureA,1,28.151775080497686
Low,architectureB,1,33.11232461040524
Low,architectureC,1,29.924214028360073
Low,architectureD,1,14.241878595361698
Low,architectureE,1,50.2383173732286
Low,control,1,25.28582493129725
Low,architectureA,20,19.186012041007487
Low,architectureB,20,15.161436082176083
Low,architectureC,20,43.31233766993686
Low,architectureD,20,19.43741445046959
Low,architectureE,20,34.13030938673311
Low,control,20,28.561552477235367
Low,architectureA,2,20.382054775472643
Low,architectureB,2,19.61001870600899
Low,architectureC,2,23.168658020937833
Low,architectureD,2,15.325020671123037
Low,architectureE,2,39.129811415993565
Low,control,2,16.873274418825282
Low,architectureA,3,17.98561000963219
Low,architectureB,3,17.184148357101638
Low,architectureC,3,32.953729660831186
Low,architectureD,3,10.310873639963475
Low,architectureE,3,57.81091045241586
Low,control,3,16.842227119819597
Low,architectureA,4,31.11135256804787
Low,architectureB,4,15.704278649361715
Low,architectureC,4,31.180393211316137
Low,architectureD,4,16.293151918757314
Low,architectureE,4,26.90799652907478
Low,control,4,28.66583365440519
Low,architectureA,5,18.540082871870734
Low,architectureB,5,18.083052898987308
Low,architectureC,5,37.419812825347215
Low,architectureD,5,16.298854030181193
Low,architectureE,5,30.858192381440087
Low,control,5,21.08886870327985
Low,architectureA,6,24.73121843753168
Low,architectureB,6,25.296222143726084
Low,architectureC,6,31.095697367413983
Low,architectureD,6,11.746976153918185
Low,architectureE,6,26.52035245489006
Low,control,6,16.310386455355555
Low,architectureA,7,16.575496215752004
Low,architectureB,7,22.03942852516587
Low,architectureC,7,37.37274400257958
Low,architectureD,7,17.820064013751374
Low,architectureE,7,32.280330422816185
Low,control,7,21.883301562354553
Low,architectureA,8,17.05319986560999
Low,architectureB,8,25.737594547821995
Low,architectureC,8,33.84985315274477
Low,architectureD,8,11.049166025360165
Low,architectureE,8,31.64722102371733
Low,control,8,29.216421336415795
Low,architectureA,9,29.932786506599843
Low,architectureB,9,19.839009862484463
Low,architectureC,9,31.95773482821801
Low,architectureD,9,18.1967630857888
Low,architectureE,9,38.27575716268682
Low,control,9,16.9631813287497
