density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
High,architectureA,10,1,0.0035491466207251336,22.982561537165623
High,architectureA,10,2,0.006162952304848267,9.797345789729281
High,architectureA,10,3,0.00732769287366005,13.006444299174461
High,architectureA,10,4,0.007749287851399916,22.310965024157742
High,architectureA,10,5,0.00863126815633815,55.101823798091694
High,architectureA,10,6,0.006830963741123783,91.68089834580427
High,architectureA,10,7,0.004968732002363267,144.64874138854435
High,architectureA,10,8,0.0018123073319519332,171.44112166528257
High,architectureA,10,9,0.0004736508047761009,211.48781387221285
High,architectureA,10,10,0.0003859663483639359,210.3539558819226
High,architectureB,10,1,0.003558393928045267,18.62937221676935
High,architectureB,10,2,0.006159313769903751,13.03918097313503
High,architectureB,10,3,0.007346733249142617,11.139616237525365
High,architectureB,10,4,0.0077194576993388,20.797467128193876
High,architectureB,10,5,0.008639903604025133,57.036242433865006
High,architectureB,10,6,0.006856628049113317,62.06143449358823
High,architectureB,10,7,0.0049479733666578166,117.70303822155482
High,architectureB,10,8,0.00181328124477565,135.2067011149513
High,architectureB,10,9,0.00046174215660737557,210.60401837963227
High,architectureB,10,10,0.0003859663483639359,239.20269919594782
High,architectureC,10,1,0.0035642316208852835,27.00036475342473
High,architectureC,10,2,0.0061857630118665,19.27721731994966
High,architectureC,10,3,0.0073320260263916165,21.298271479035993
High,architectureC,10,4,0.0077366563090287,33.24807218395774
High,architectureC,10,5,0.008625437188553867,57.92880841504317
High,architectureC,10,6,0.00685575113580705,96.72264560118948
High,architectureC,10,7,0.004990927318408283,121.20738649766714
High,architectureC,10,8,0.0018257402735766,106.1686200253054
High,architectureC,10,9,0.0004625848559882821,141.82478227773075
High,architectureC,10,10,0.0003859663483639359,181.3672102249951
High,architectureD,10,1,0.00355374931696645,9.824847175467474
High,architectureD,10,2,0.006167274776048083,11.608429386734828
High,architectureD,10,3,0.0073349118955044505,11.534381998780864
High,architectureD,10,4,0.007754134117471216,25.256089734479314
High,architectureD,10,5,0.008645124856981051,30.52150396908586
High,architectureD,10,6,0.006844863490087717,80.77197846363417
High,architectureD,10,7,0.004953692806416117,161.64882399677848
High,architectureD,10,8,0.0017929422727414668,182.02881512784907
High,architectureD,10,9,0.00046871561975611077,240.28976562256537
High,architectureD,10,10,0.0003859663483639359,264.3955080123546
High,architectureE,10,1,0.00355837260259275,3.941010091480377
High,architectureE,10,2,0.006184285646504366,5.468372340285285
High,architectureE,10,3,0.0073297811494699334,9.694037475233385
High,architectureE,10,4,0.007736741783649851,21.757243310625544
High,architectureE,10,5,0.008644469644897233,33.877318186426535
High,architectureE,10,6,0.006843929002586883,64.34357350878601
High,architectureE,10,7,0.004970577589755733,120.98266079099517
High,architectureE,10,8,0.0018244804842341,184.83094476101985
High,architectureE,10,9,0.0004616070640217395,207.7867565009242
High,architectureE,10,10,0.0003859663483639359,249.91371448807072
High,control,10,1,0.0035560417283429335,14.575605427434487
High,control,10,2,0.006179292434396018,7.800494102744935
High,control,10,3,0.007315889096953733,11.39213907892375
High,control,10,4,0.007742667679879617,21.646607182274717
High,control,10,5,0.0086305295646101,88.62905837559754
High,control,10,6,0.006828388123131,86.92227278552865
High,control,10,7,0.0049784397888638,87.2979059144797
High,control,10,8,0.0018259067241118167,133.4975396587357
High,control,10,9,0.00047365804360258515,159.70801319707908
High,control,10,10,0.0003859663483639359,219.86144884394434
Low,architectureA,10,1,0.0035558580161325834,46.39012455368066
Low,architectureA,10,2,0.006148154293762716,22.84684219814798
Low,architectureA,10,3,0.0072960880946411,32.63030729382496
Low,architectureA,10,4,0.007730825174542783,64.2521664977288
Low,architectureA,10,5,0.008622232466777633,92.80015962281128
Low,architectureA,10,6,0.006797469873538284,140.41267402440857
Low,architectureA,10,7,0.005007426388295416,152.62552903735877
Low,architectureA,10,8,0.0018310286058498668,194.02891198448108
Low,architectureA,10,9,0.0004529128528138001,215.9280618613609
Low,architectureA,10,10,0.0003368119115023402,164.8714487816562
Low,architectureB,10,1,0.0035493024440241,42.16911470770615
Low,architectureB,10,2,0.006157582262771717,30.57949830845598
Low,architectureB,10,3,0.007291344391190217,34.35759371954277
Low,architectureB,10,4,0.00780028633115385,70.20879926809774
Low,architectureB,10,5,0.008611012983130299,86.61631022814602
Low,architectureB,10,6,0.00680176484457655,97.42128411350433
Low,architectureB,10,7,0.004998997614384783,151.28845603947542
Low,architectureB,10,8,0.0018383882456719167,193.38155497746448
Low,architectureB,10,9,0.00046515425537874334,220.57929288927073
Low,architectureB,10,10,0.0003385911095573197,227.32996182981847
Low,architectureC,10,1,0.0035497452403350665,57.68371331973517
Low,architectureC,10,2,0.0061381325946048325,38.70847553315637
Low,architectureC,10,3,0.007320680513915934,32.745143294734255
Low,architectureC,10,4,0.007721045327742117,59.82035980235943
Low,architectureC,10,5,0.008626917875379433,110.4325459317647
Low,architectureC,10,6,0.006789298916026116,102.04641986254832
Low,architectureC,10,7,0.0050003520917657335,154.15908372226394
Low,architectureC,10,8,0.0018437524826721832,134.79930107581635
Low,architectureC,10,9,0.00047044828182061463,155.4196278619246
