density,architecture,repetition,absorbedPAR_umol_m2_s1
High,architectureA,10,7.291894681958243
High,architectureB,10,9.151478950488062
High,architectureC,10,11.233516073552925
High,architectureD,10,2.411667778676973
High,architectureE,10,13.563848158433416
High,control,10,6.192001484885017
Low,architectureA,10,23.545154131318597
Low,architectureB,10,22.469962025710934
Low,architectureC,10,31.35541385711958
Low,architectureD,10,9.888884377774016
Low,architectureE,10,34.572721731503414
Low,control,10,24.089294547072907
High,architectureA,11,7.302864952813876
High,architectureB,11,2.4851311308396506
High,architectureC,11,7.645582009089529
High,architectureD,11,1.0712722190860033
High,architectureE,11,10.658290166954494
High,control,11,9.343268425872633
Low,architectureA,11,20.537115916760733
Low,architectureB,11,28.428450092888372
Low,architectureC,11,41.678002370663926
Low,architectureD,11,14.843737546761098
Low,architectureE,11,30.650779115218505
Low,control,11,27.2717941638297
High,architectureA,12,8.743258860565179
High,architectureB,12,7.124856300042935
High,architectureC,12,8.589068840380179
High,architectureD,12,4.127866937975649
High,architectureE,12,15.812013345927994
High,control,12,9.944781588471798
Low,architectureA,12,12.584546497222625
Low,architectureB,12,27.85399117812151
Low,architectureC,12,30.520095639994715
Low,architectureD,12,10.36211979956946
Low,architectureE,12,41.031942323714
Low,control,12,16.548613223768267
High,architectureA,13,4.568712311498869
High,architectureB,13,4.323539306095328
High,architectureC,13,8.463043081993842
High,architectureD,13,2.7131299034784533
High,architectureE,13,12.820774525764982
High,control,13,7.066883035954183
Low,architectureA,13,16.663379609219604
Low,architectureB,13,25.7970577194431
Low,architectureC,13,41.12956503081368
Low,architectureD,13,10.403247941691866
Low,architectureE,13,28.100682492530186
Low,control,13,25.436276264586656
High,architectureA,14,5.576751793126108
High,architectureB,14,7.387378647356179
High,architectureC,14,11.850930796547745
High,architectureD,14,1.915730159142939
High,architectureE,14,16.537237658305155
High,control,14,4.144999984090745
Low,architectureA,14,17.906583228868627
Low,architectureB,14,15.235374460805097
Low,architectureC,14,32.34536475599936
Low,architectureD,14,9.512838334502502
Low,architectureE,14,29.365070617073076
Low,control,14,17.315492502482094
High,architectureA,15,5.716430273130148
High,architectureB,15,4.890718358470093
High,architectureC,15,7.922478400399158
High,architectureD,15,1.7956988474566278
High,architectureE,15,11.414078962063897
High,control,15,6.0969067463749615
Low,architectureA,15,24.711350736831374
Low,architectureB,15,31.432676255133984
Low,architectureC,15,36.2409790192669
Low,architectureD,15,14.634296424623495
Low,architectureE,15,37.61885146496453
Low,control,15,16.594964101994577
High,architectureA,16,6.223653617422228
High,architectureB,16,3.9427082603754866
High,architectureC,16,12.88852213553231
High,architectureD,16,3.2964430164409806
High,architectureE,16,14.830644954341583
High,control,16,5.821773970173972
Low,architectureA,16,23.546009989537247
Low,architectureB,16,31.313731478184195
Low,architectureC,16,35.22906097510309
Low,architectureD,16,20.72081613293254
Low,architectureE,16,37.11693386913115
Low,control,16,19.664881223041863
High,architectureA,17,5.448476682342222
High,architectureB,17,2.5052415474670524
High,architectureC,17,4.408907691301747
High,architectureD,17,2.22097117839906
High,architectureE,17,7.827713678308076
High,control,17,7.544548142500007
Low,architectureA,17,18.681643007701823
Low,architectureB,17,12.518057451923879
Low,architectureC,17,32.74746624955913
Low,architectureD,17,22.796636767749234
Low,architectureE,17,41.475046183793566
Low,control,17,26.538712117197424
High,architectureA,18,3.312959923089326
High,architectureB,18,4.42279521535384
High,architectureC,18,9.091018848355331
High,architectureD,18,2.761388911830924
High,architectureE,18,6.879235226647589
High,control,18,5.784301531609303
Low,architectureA,18,13.959079499212937
Low,architectureB,18,17.389333535965136
Low,architectureC,18,45.436843789791816
Low,architectureD,18,11.925776696256806
Low,architectureE,18,39.264967201874356
Low,control,18,20.886565579655077
High,architectureA,19,3.8950787449931865
High,architectureB,19,8.70074283207927
High,architectureC,19,9.65046338723087
High,architectureD,19,5.992926392137976
High,architectureE,19,12.015250753988129
High,control,19,6.987255852895546
Low,architectureA,19,23.90283633051293
Low,architectureB,19,30.533037650037745
Low,architectureC,19,40.7760870292777
Low,architectureD,19,7.350492624370186
Low,architectureE,19,39.34021457327212
Low,control,19,16.860473281495803
High,architectureA,1,4.898922015073287
High,architectureB,1,3.561779675640321
High,architectureC,1,11.184164109020339
High,architectureD,1,3.7598386669148303
High,architectureE,1,12.727270159706196
High,control,1,4.258303403891452
Low,architectureA,1,28.151775080497686
Low,architectureB,1,33.11232461040524
Low,architectureC,1,29.924214028360073
Low,architectureD,1,14.241878595361698
Low,architectureE,1,50.2383173732286
Low,control,1,25.28582493129725
High,architectureA,20,5.752773179441512
High,architectureB,20,4.952671548014086
High,architectureC,20,14.115130119330852
High,architectureD,20,2.910094103453677
High,architectureE,20,16.2617408765009
High,control,20,3.776631907868629
Low,architectureA,20,19.186012041007487
Low,architectureB,20,15.161436082176083
Low,architectureC,20,43.31233766993686
Low,architectureD,20,19.43741445046959
Low,architectureE,20,34.13030938673311
Low,control,20,28.561552477235367
High,architectureA,2,4.249173545753019
High,architectureB,2,5.605234893844221
High,architectureC,2,11.393945582999793
High,architectureD,2,3.4900150060015713
High,architectureE,2,18.97647638887279
High,control,2,3.040020504565408
Low,architectureA,2,20.382054775472643
