density,canopy,simulation,plantNb,organ_type,age_in_degree_days_dd of plant,age_in_days_d of plant,Organ_ID,rank,order,absorbedPAR [umol s^-1],dry_biomass_mg[mg],dry_biomass_growth_mg for dynamic,area_m2[m^2],area_m2 of just blades (not segments),SLA
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439678]@5ebe5792,2,0,0.002693198,0,0,0.0017783,0.0017,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439679]@39dd18d9,2,0,0.002550057,0,0,0.00178175,0.0017,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439685]@1ed9d8d2,3,0,0.010704944,0,0,0.006200289,0.006,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439691]@7b958c70,4,0,0.04040866,0,0,0.007347007,0.0071,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439697]@666cc516,5,0,0.096955482,0,0,0.007765469,0.0075,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439703]@449d4c65,6,0,0.131617316,0,0,0.008647616,0.0084,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439709]@e40397b,7,0,0.246928377,0,0,0.006855323,0.0066,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439715]@ee5ae72,8,0,0.155757546,0,0,0.005044047,0.0048,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439721]@6b93846b,9,0,0.066273709,0,0,0.001851795,0.0017,0
High,experiment,Sim1,1,4,0,0,organs.Leaf[id=439727]@5d42d6de,10,0,0.02139973,0,0,0.000452,0.0004,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439739]@248ea9d3,2,0,0.006367324,0,0,0.001801127,0.0017,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439740]@5f19d536,2,0,0.003484866,0,0,0.001781561,0.0017,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439746]@5f6db7ae,3,0,0.04131573,0,0,0.006177705,0.006,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439752]@2ad92509,4,0,0.018470184,0,0,0.007295664,0.0071,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439758]@49aaea9,5,0,0.054465273,0,0,0.007768753,0.0075,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439764]@164c11d8,6,0,0.23017042,0,0,0.008609992,0.0084,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439770]@1a63bc4,7,0,0.168537017,0,0,0.006783419,0.0066,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439776]@433821de,8,0,0.270096291,0,0,0.00494933,0.0048,0
High,experiment,Sim1,2,4,0,0,organs.Leaf[id=439782]@3f3021a9,9,0,0.035846447,0,0,0.001754555,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439794]@63cc8b4a,2,0,0.001297615,0,0,0.00176185,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439795]@5180b230,2,0,0.003607747,0,0,0.001783295,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439801]@22d4fc90,3,0,0.012009209,0,0,0.006138049,0.006,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439807]@11f00555,4,0,0.050216707,0,0,0.007355726,0.0071,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439813]@679f508b,5,0,0.059676998,0,0,0.007734599,0.0075,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439819]@39cad760,6,0,0.11617119,0,0,0.008569304,0.0084,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439825]@3031ae13,7,0,0.09349018,0,0,0.006811618,0.0066,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439831]@61d916b1,8,0,0.086552812,0,0,0.004981026,0.0048,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439837]@74842377,9,0,0.119559996,0,0,0.0018778,0.0017,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439843]@7821cbde,10,0,0.027113237,0,0,0.000458,0.0004,0
High,experiment,Sim1,3,4,0,0,organs.Leaf[id=439849]@e73f477,11,0,0.025788829,0,0,0.000386,0.0003,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439861]@4ab18bcc,2,0,0.007460688,0,0,0.001779501,0.0017,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439862]@5f3a251d,2,0,0.005241593,0,0,0.001763852,0.0017,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439868]@102de2f9,3,0,0.013141777,0,0,0.006172149,0.006,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439874]@49f0a8ac,4,0,0.058339349,0,0,0.007315411,0.0071,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439880]@2692c533,5,0,0.048810909,0,0,0.007718313,0.0075,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439886]@64f83c76,6,0,0.118170221,0,0,0.008661971,0.0084,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439892]@13f8775b,7,0,0.272348053,0,0,0.006854309,0.0066,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439898]@7f719f61,8,0,0.184755825,0,0,0.004989347,0.0048,0
High,experiment,Sim1,4,4,0,0,organs.Leaf[id=439904]@5f26b999,9,0,0.086164866,0,0,0.001859107,0.0017,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439916]@576542ef,2,0,0.002387413,0,0,0.001768917,0.0017,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439917]@34a109d9,2,0,0.002675234,0,0,0.001776471,0.0017,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439923]@7ec22328,3,0,0.005603767,0,0,0.006237779,0.006,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439929]@5546368d,4,0,0.021330321,0,0,0.007321383,0.0071,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439935]@383ed56a,5,0,0.027536828,0,0,0.007722652,0.0075,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439941]@c8ceeed,6,0,0.055222158,0,0,0.008650764,0.0084,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439947]@1d5520b2,7,0,0.172442044,0,0,0.006844789,0.0066,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439953]@44ed90e9,8,0,0.123566618,0,0,0.005005885,0.0048,0
High,experiment,Sim1,5,4,0,0,organs.Leaf[id=439959]@620ec91d,9,0,0.054048756,0,0,0.001920749,0.0017,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439971]@454c7882,2,0,0.005221581,0,0,0.001793898,0.0017,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439972]@21dc07c4,2,0,0.002227579,0,0,0.001775294,0.0017,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439978]@61116b06,3,0,0.013493914,0,0,0.006210795,0.006,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439984]@5abc2cbe,4,0,0.008920589,0,0,0.007349744,0.0071,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439990]@5e915a29,5,0,0.063058035,0,0,0.007780351,0.0075,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=439996]@833f39,6,0,0.13181688,0,0,0.008615392,0.0084,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=440002]@6a94585,7,0,0.234495506,0,0,0.006828301,0.0066,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=440008]@103bfb21,8,0,0.137392762,0,0,0.004972757,0.0048,0
High,experiment,Sim1,6,4,0,0,organs.Leaf[id=440014]@290454ea,9,0,0.101221608,0,0,0.00194147,0.0017,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443270]@650c07c4,2,0,0.002182989,0,0,0.001770017,0.0017,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443271]@7596eb73,2,0,0.002418659,0,0,0.001780934,0.0017,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443277]@1e5fffa4,3,0,0.011621782,0,0,0.006147356,0.006,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443283]@24ae3e34,4,0,0.011657928,0,0,0.007315365,0.0071,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443289]@3ddbb0be,5,0,0.05501209,0,0,0.007741152,0.0075,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443295]@5407a1e9,6,0,0.16346319,0,0,0.008637419,0.0084,0
High,canopyA,Sim1,1,4,0,0,organs.Leaf[id=443301]@43c7f1e3,7,0,0.167538844,0,0,0.006810042,0.0066,0
