density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architectureA,100,1,0.0035958938720531,8.142839991994538,0.9107759009261323
High,architectureA,10,1,0.0035919856590059,11.051306705333786,1.0434136319907534
High,architectureA,11,1,0.0035995465848463,12.196950178016614,1.0862512498189112
High,architectureA,12,1,0.0036001040004487,7.148819125595241,0.8542343089909138
High,architectureA,13,1,0.0035847511579399,14.030489520339913,1.1470728237207084
High,architectureA,14,1,0.0035987384339739,12.540950808003592,1.0983304643268734
High,architectureA,15,1,0.003593285071504,6.401888561455679,0.8063081100508352
High,architectureA,16,1,0.0035853741011215,11.08101368801476,1.0445794913467514
High,architectureA,17,1,0.0035870295059892,8.17240358683526,0.9123498057342154
High,architectureA,18,1,0.0036004219915836,7.250437760692691,0.8603642288211665
High,architectureA,19,1,0.0035931197872534,9.302201253344608,0.9685857312485503
High,architectureA,1,1,0.0035958996495162,12.135819472642998,1.0840691074442876
High,architectureA,20,1,0.0036018084398071,6.24796055911341,0.7957382793498022
High,architectureA,21,1,0.0035860690498575,10.23072814435628,1.0099065445452315
High,architectureA,22,1,0.0035947688060583,6.336234231363519,0.8018312234280914
High,architectureA,23,1,0.0035977076278988,9.752351359427582,0.9891093397300649
High,architectureA,24,1,0.0035896591504673,15.633831535782072,1.1940654278542813
High,architectureA,25,1,0.0035893626380892,14.013285857504492,1.1465399812860129
High,architectureA,26,1,0.0035889245330409,16.87100954631735,1.2271410711650972
High,architectureA,27,1,0.0035999859725509,17.519568929063595,1.2435234160996331
High,architectureA,28,1,0.003596360882246,11.048821599052395,1.0433159612501464
High,architectureA,29,1,0.0035899051953829,13.525427293731504,1.1311509941762736
High,architectureA,2,1,0.0035910347931645,8.9580109370431,0.9522115883491878
High,architectureA,30,1,0.0035861505442838,11.227536560373167,1.0502844779358187
High,architectureA,31,1,0.0035993037286172,12.595139411437188,1.1002029789228818
High,architectureA,32,1,0.0035965415483824,10.396796961779383,1.016899562752508
High,architectureA,33,1,0.0035906500829203,7.221431913438491,0.8586233209001599
High,architectureA,34,1,0.0035958670235972,12.073670210643153,1.0818393090316218
High,architectureA,35,1,0.0035963006723915,16.551708667348173,1.21884283354962
High,architectureA,36,1,0.0035952975277911,12.928672259771185,1.1115539262831042
High,architectureA,38,1,0.0035896100629852,6.959405114427772,0.8425721179779326
High,architectureA,39,1,0.0035956790850797,9.074967087406804,0.9578450586355849
High,architectureA,3,1,0.0035965997073263,9.925490744688116,0.9967519887289726
High,architectureA,40,1,0.0035964241120877,9.031263549349912,0.9557485159968895
High,architectureA,41,1,0.0035931419808432,9.338638559425243,0.9702835668911154
High,architectureA,42,1,0.0035985022993449,8.219967948096594,0.9148701241103762
High,architectureA,43,1,0.0035994725259415,9.518029285711131,0.9785470367311959
High,architectureA,44,1,0.0035993690661809,8.841379344737081,0.9465200246371943
High,architectureA,45,1,0.0035962784021343,12.810230093060753,1.1075569304667132
High,architectureA,46,1,0.0036065170092896,9.279545479721532,0.9675267046150821
High,architectureA,47,1,0.0036005745459519,10.87272935636286,1.0363385777217997
High,architectureA,48,1,0.0035965040558973,9.118642215712685,0.9599301758148682
High,architectureA,49,1,0.0035938473409046,15.130980269472504,1.1798670649585434
High,architectureA,4,1,0.0036009022870406,10.338528057592962,1.0144587107144232
High,architectureA,50,1,0.0035892176120596,11.693041119939704,1.0679274769312874
High,architectureA,51,1,0.0035942361394982,7.993511449077606,0.9027376013354579
High,architectureA,52,1,0.0035890904813694,13.123138266967816,1.1180377046317225
High,architectureA,53,1,0.0035921933485475,11.069205133274709,1.044116435817587
High,architectureA,54,1,0.0036020348827395,10.08079665068392,1.0034948542647473
High,architectureA,55,1,0.0035987417998755,11.715605567270336,1.068764741735957
High,architectureA,56,1,0.0036039072580766,13.139034117148173,1.118563440337099
High,architectureA,57,1,0.003591517665038,8.346809011836687,0.9215204762717724
High,architectureA,58,1,0.0035958478671642,14.98159067206884,1.17555792707685
High,architectureA,59,1,0.0035955361876747,10.812255478728424,1.0339162989293103
High,architectureA,5,1,0.0035943704028841,11.1219572508932,1.046181221460458
High,architectureA,60,1,0.0035947874253865,13.557339883572665,1.1321744839840198
High,architectureA,61,1,0.0036008811220618,8.360044298698467,0.9222085787104671
High,architectureA,62,1,0.0035804550787359,12.846108883495395,1.1087715987695357
High,architectureA,63,1,0.0035931848036211,8.80531347201673,0.9447448216029856
High,architectureA,64,1,0.0035879700537753,10.414400538070518,1.0176342766360713
High,architectureA,65,1,0.0036021922158897,11.655553435199598,1.0665328997482197
High,architectureA,66,1,0.0036019901423607,18.62850459420721,1.2701779932456512
High,architectureA,67,1,0.0036007463287201,8.613457003488735,0.9351774901545248
High,architectureA,68,1,0.0035937917539817,14.664168810563687,1.1662574514818682
High,architectureA,69,1,0.0035917361926811,14.504507459784266,1.1615029857322938
High,architectureA,6,1,0.0035849499749159,14.533761473504969,1.1623780283224514
High,architectureA,70,1,0.0035987758893671,4.948560391131447,0.6944788746667229
High,architectureA,71,1,0.0035978353027281,6.931936854621434,0.8408545979232449
High,architectureA,72,1,0.0035973218943993,6.024081139236746,0.7798908128084258
High,architectureA,73,1,0.0035965025079064,11.405725198498947,1.0571229037900987
High,architectureA,74,1,0.0035973487702303,14.819855881412195,1.1708439802821922
High,architectureA,75,1,0.0035960091409661,6.517453367230414,0.8140779324484279
High,architectureA,76,1,0.0035908518744691,9.598070582449084,0.9821839393300393
High,architectureA,77,1,0.003597721767945,10.84934812722375,1.035403644797037
High,architectureA,78,1,0.0035917367757834,13.690287581630487,1.1364125711291264
High,architectureA,79,1,0.0035980401855062,11.873615991651803,1.0745829991627684
High,architectureA,7,1,0.0035919168806413,14.20448748966392,1.1524255686167668
High,architectureA,80,1,0.0035919760921617,6.581199242301371,0.8183050390331233
High,architectureA,81,1,0.0035941375520963,5.974493079807465,0.7763010624265672
High,architectureA,82,1,0.0035994216237144,10.498518299528149,1.0211280095703033
High,architectureA,83,1,0.0035956224970117,10.794855373296846,1.0332168281431655
High,architectureA,84,1,0.0035807558957129,7.247991240452392,0.8602176598032091
High,architectureA,85,1,0.0035960104226046,9.674187332296954,0.9856144928720701
High,architectureA,86,1,0.0035950124288682,13.900364027075376,1.1430261738425815
High,architectureA,87,1,0.0035872562559896,9.299557401864448,0.9684622794676925
High,architectureA,88,1,0.0035983511446644,11.0424267385646,1.0430645265953438
