density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architecture_A,100,4.199064446653171,0.6231525401799887
High,architecture_A,10,2.6950562705301766,0.4305678373244738
High,architecture_A,11,2.0539492586692645,0.3125897104627488
High,architecture_A,12,4.620279338251102,0.6646682334335411
High,architecture_A,13,4.387381938484817,0.6422054430569164
High,architecture_A,14,1.9747385371124933,0.29550960152891664
High,architecture_A,16,3.94411049089052,0.5959490728289883
High,architecture_A,17,4.000918388673193,0.6021596926660804
High,architecture_A,18,1.967890696294489,0.294000972492448
High,architecture_A,19,3.592520629241086,0.555399270651732
High,architecture_A,1,4.646729170041839,0.6671473607973584
High,architecture_A,20,4.509205237660522,0.6541000027838257
High,architecture_A,21,5.466889428998448,0.7377402901232292
High,architecture_A,22,2.247333500091629,0.35166752569113086
High,architecture_A,23,5.492174487138353,0.7397443263792816
High,architecture_A,24,3.0081067646760373,0.47829324631016773
High,architecture_A,25,4.554206252780363,0.6584126952330142
High,architecture_A,27,4.074693385326627,0.6100949342856451
High,architecture_A,28,4.023604452205072,0.6046152800329181
High,architecture_A,29,5.13651371972297,0.7106684524602891
High,architecture_A,2,3.492987748895969,0.543197062420868
High,architecture_A,30,3.3853135855304464,0.5295989040869341
High,architecture_A,31,1.958442137915104,0.2919107448624916
High,architecture_A,32,2.160069652075149,0.33446775532879336
High,architecture_A,33,4.080875038010455,0.6107532962843186
High,architecture_A,34,2.4510641179926567,0.38935467221747244
High,architecture_A,35,2.121161482564548,0.3265737323153017
High,architecture_A,36,4.435548924550899,0.6469473739200476
High,architecture_A,37,3.653823170567408,0.5627475255274431
High,architecture_A,38,2.1071026793193943,0.3236856993362866
High,architecture_A,39,2.86767644992444,0.4575301498063949
High,architecture_A,3,2.514361554133256,0.40042772747682004
High,architecture_A,40,3.042293591827518,0.48320112265520243
High,architecture_A,41,3.611297896716601,0.5576633149468956
High,architecture_A,42,6.124219980546844,0.7870507820624381
High,architecture_A,43,3.930742837757925,0.5944746317631111
High,architecture_A,44,4.856361720212569,0.6863110271696975
High,architecture_A,45,6.298241929701622,0.7992193388531503
High,architecture_A,46,3.9411813458940426,0.5956264185522645
High,architecture_A,47,3.847097765203409,0.5851332230494357
High,architecture_A,48,2.0872401999918564,0.3195724306315037
High,architecture_A,49,2.619598860214312,0.4182347927955705
High,architecture_A,4,2.816981301328237,0.4497839642179645
High,architecture_A,50,4.14906888052067,0.6179506448028764
High,architecture_A,51,3.035263121503994,0.4821963452511726
High,architecture_A,52,3.4789952176314825,0.5414538317491167
High,architecture_A,53,3.15856853272884,0.49949030439425207
High,architecture_A,54,1.2442279214227103,0.09489994301512956
High,architecture_A,55,2.5010840305224806,0.39812828324556127
High,architecture_A,56,3.7723967065758433,0.5766173570285993
High,architecture_A,57,3.6092409013136657,0.5574158703165292
High,architecture_A,58,4.128673355767748,0.6158105245799198
High,architecture_A,59,2.6556010463546147,0.42416283109475994
High,architecture_A,5,4.701221502738595,0.6722107138878578
High,architecture_A,60,2.572664525256284,0.41038315802189584
High,architecture_A,61,3.0236976205601382,0.48053835816241947
High,architecture_A,62,1.856950975085976,0.2688004381874452
High,architecture_A,63,4.032244223485758,0.605546828422613
High,architecture_A,64,2.686984869152921,0.4292652208574726
High,architecture_A,66,5.349078240064379,0.7282789502935435
High,architecture_A,67,3.152662791195074,0.49867752109519803
High,architecture_A,68,3.526530407689782,0.5473476329232678
High,architecture_A,70,2.7376560863823856,0.43737888968273037
High,architecture_A,71,3.233749749346104,0.5097064080616364
High,architecture_A,72,4.421732739452914,0.6455924891950848
High,architecture_A,73,2.550441062176493,0.4066152919263024
High,architecture_A,74,6.753143676343273,0.8295059896401124
High,architecture_A,75,3.166725826883017,0.5006104640582945
High,architecture_A,76,4.462489469854948,0.649577204315928
High,architecture_A,77,3.313974559854306,0.5203491701794853
High,architecture_A,78,3.985518798963882,0.6004848619585004
High,architecture_A,79,3.0589926696947125,0.48557843628021596
High,architecture_A,7,3.0368903236840894,0.48242910779614173
High,architecture_A,80,3.085765391556657,0.4893629038964322
High,architecture_A,81,2.4936691686461674,0.39683883576570883
High,architecture_A,83,3.1842949178513007,0.5030132837088612
High,architecture_A,85,3.1228551072579247,0.49455183450937357
High,architecture_A,86,6.139249418820618,0.7881152777877038
High,architecture_A,88,5.572969567911512,0.7460866715284434
High,architecture_A,89,5.410715882498012,0.7332547296629643
High,architecture_A,8,3.55822316445628,0.5512331826609396
High,architecture_A,90,2.56486835775956,0.40906507979257145
High,architecture_A,91,3.928210150838181,0.5941947135619695
High,architecture_A,93,3.585999037206262,0.5546101686238037
High,architecture_A,94,2.687155718452556,0.4292928341686184
High,architecture_A,95,3.178694892380084,0.5022488440787094
High,architecture_A,96,2.881484901089176,0.45961634823081104
High,architecture_A,97,2.8953003795760885,0.4616936272776363
High,architecture_A,98,3.22158840462719,0.5080700534582373
High,architecture_A,99,3.890288641807528,0.589981825205845
High,architecture_A,9,3.613413895517575,0.5579177103209065
High,architecture_B,100,6.475109632591101,0.8112471260237565
High,architecture_B,10,2.580951912268276,0.41177991293941746
High,architecture_B,11,4.743450382480247,0.6760943621259904
High,architecture_B,12,5.260392090243805,0.721018116070662
High,architecture_B,13,3.5545703096859995,0.5507871090289231
High,architecture_B,14,3.0485175427185127,0.48408869851618935
High,architecture_B,15,5.05777179184952,0.7039592299557227
High,architecture_B,16,3.3240949969395257,0.5216734266815999
High,architecture_B,17,3.907985110258927,0.5919529003525942
High,architecture_B,18,4.252277750907118,0.6286216240889582
High,architecture_B,19,7.969550390074986,0.9014338209422456
High,architecture_B,1,3.4314163072783592,0.535473410852965
High,architecture_B,20,4.060580987122009,0.6085881767913253
High,architecture_B,21,8.44816515110271,0.9267623951887336
High,architecture_B,22,4.55645691452262,0.6586272679764528
High,architecture_B,23,7.931123073870981,0.8993346892406997
High,architecture_B,24,5.2248826893158125,0.7180765439783547
High,architecture_B,25,6.596956174467849,0.819343598943269
High,architecture_B,26,5.582123714530737,0.746799457366271
High,architecture_B,27,3.121591339323072,0.4943760471268725
High,architecture_B,28,4.069894821167068,0.6095831858402104
High,architecture_B,29,3.5505932202893447,0.5503009194705532
High,architecture_B,2,3.645966719037012,0.5618127000280783
High,architecture_B,30,8.022336242354884,0.904300860729523
High,architecture_B,31,6.914876894802787,0.839784452791859
High,architecture_B,32,8.903899457067181,0.9495802472961655
High,architecture_B,33,6.088949196777876,0.7845423505283156
High,architecture_B,34,4.3710371663207725,0.6405844992508974
High,architecture_B,35,3.401100643100491,0.5316194834753504
High,architecture_B,36,5.567518208487029,0.7456616460621619
High,architecture_B,37,8.012406404838345,0.9037629694411143
High,architecture_B,38,4.844631981789033,0.6852607918411254
High,architecture_B,39,3.651544495093756,0.5624765970097722
High,architecture_B,3,3.6939886246300087,0.5674955537279304
High,architecture_B,40,9.166598553103508,0.9622082120428337
High,architecture_B,41,3.232879707804328,0.5095895452522227
High,architecture_B,42,4.447985699389787,0.6481633822866613
High,architecture_B,43,3.494310608263329,0.5433615066741619
High,architecture_B,44,3.1698549592263903,0.5010393909721013
High,architecture_B,45,5.900824465167228,0.7709126956518569
High,architecture_B,46,6.692741447292565,0.8256040477462109
High,architecture_B,47,3.2799784237696703,0.5158709868614985
High,architecture_B,48,7.350303182773457,0.866305253082825
High,architecture_B,49,4.808146235419677,0.6819776678694807
High,architecture_B,50,8.973050152546456,0.9529400951346103
High,architecture_B,51,4.299962596987533,0.633464677906896
High,architecture_B,52,4.129267344139588,0.6158730016264438
High,architecture_B,53,3.5128962187901824,0.545665319654674
High,architecture_B,54,8.335496790757013,0.9209314886337197
High,architecture_B,55,4.105960406738991,0.6134147572075683
High,architecture_B,56,4.976843790494447,0.696954009642769
High,architecture_B,57,2.1960588050930308,0.34164396527963703
High,architecture_B,58,4.313620924549509,0.6348419772037275
High,architecture_B,59,7.362861830275778,0.8670466506856077
High,architecture_B,5,4.572812888686027,0.6601834311918183
High,architecture_B,60,4.475471460791142,0.6508387920619827
High,architecture_B,61,6.807090661923839,0.8329615349017976
High,architecture_B,62,5.656841715206904,0.7525740268623919
High,architecture_B,63,4.56653768969318,0.6595870464267667
High,architecture_B,64,9.703766463027746,0.9869403359790003
High,architecture_B,65,6.080465689503514,0.7839368422063955
High,architecture_B,66,5.337730305265567,0.7273566267962066
High,architecture_B,67,3.611954057393346,0.5577422176250096
High,architecture_B,68,6.314352874916658,0.8003288485962406
High,architecture_B,69,5.995325879464103,0.7778127944084365
High,architecture_B,6,5.117869999175069,0.7090892500236232
High,architecture_B,70,9.10786811689731,0.9594167333486349
High,architecture_B,71,6.528194907516507,0.8147931123504711
High,architecture_B,72,4.026000883415144,0.6048738658487809
High,architecture_B,73,5.575082307000145,0.7462512834174398
High,architecture_B,74,5.4116496332610975,0.7333296712834995
High,architecture_B,75,5.891728849497891,0.7702427514298331
High,architecture_B,76,6.96420406292385,0.8428714881924746
High,architecture_B,77,7.930112101218261,0.8992793266109701
High,architecture_B,78,7.075790135726927,0.8497749434791558
High,architecture_B,79,2.824554045976586,0.4509498890899915
High,architecture_B,7,3.843256887068649,0.584699414104671
High,architecture_B,80,5.063898894317827,0.7044850259827973
High,architecture_B,81,5.456627703161711,0.7369243235874019
High,architecture_B,82,6.722719144846621,0.8275449681056618
High,architecture_B,83,3.4141656877290973,0.5332845933810619
High,architecture_B,84,4.91805593221717,0.691793463588373
High,architecture_B,85,9.003229437612562,0.9543983178130048
High,architecture_B,86,3.8165680392988985,0.5816730091068918
High,architecture_B,87,3.997181767722808,0.6017538978032879
High,architecture_B,88,5.108240751051039,0.7082713573441304
High,architecture_B,89,4.187544494887184,0.6219594346792451
High,architecture_B,8,2.0391116661075985,0.3094410093222547
High,architecture_B,90,5.066925682016102,0.7047445344215154
High,architecture_B,91,10.60024830269187,1.0253160383992908
High,architecture_B,93,9.457819625291094,0.9757910271156797
High,architecture_B,94,4.658537485524824,0.6682495944457694
High,architecture_B,95,8.6265618181541,0.9358377388294931
High,architecture_B,96,7.945134540797007,0.9001012558330153
High,architecture_B,97,7.304420208378007,0.8635857493195692
High,architecture_B,98,5.201300605956709,0.7161119542815773
High,architecture_B,99,4.401037282130203,0.6435550475801776
High,architecture_B,9,4.666322572758301,0.6689747573310124
High,architecture_C,100,1.9914883295191208,0.2991777657087925
High,architecture_C,10,1.649152916725867,0.2172609272098216
High,architecture_C,11,3.856560484199637,0.5862001469906869
High,architecture_C,12,5.489503202233737,0.7395330427577143
High,architecture_C,13,2.2849695752526613,0.35888042174160173
High,architecture_C,14,3.384240472144528,0.5294612148914882
High,architecture_C,15,1.7578871556262103,0.24499099288690165
High,architecture_C,16,1.172961465535138,0.0692837447836058
High,architecture_C,17,1.1197309855746502,0.04911369631867237
High,architecture_C,18,1.8261335568185453,0.26153253709105034
High,architecture_C,19,0.945946756491448,-0.02413330758627199
High,architecture_C,1,3.402724087514413,0.5318267354231705
High,architecture_C,20,2.119054049209326,0.3261420340935227
High,architecture_C,22,2.448288172560319,0.3888625345466779
High,architecture_C,23,1.1727151761741932,0.06919254541801473
High,architecture_C,24,2.2874072878803884,0.3593435004749099
High,architecture_C,26,2.1279465597893177,0.3279607171004374
High,architecture_C,27,0.9739114316908722,-0.01148053642413572
High,architecture_C,28,4.595656311732768,0.6623475423184396
High,architecture_C,29,4.728725723675144,0.6747441247261795
High,architecture_C,2,2.010075757402771,0.3032124257796821
High,architecture_C,30,2.5933875179539854,0.413867416242746
High,architecture_C,31,1.170845812298139,0.06849970696216336
High,architecture_C,32,3.0352753637685543,0.48219809690729254
High,architecture_C,33,2.9570512633850417,0.4708588535123426
High,architecture_C,34,2.7953946412749264,0.4464431282973578
High,architecture_C,35,1.6855196410971445,0.2267338176522495
High,architecture_C,36,1.5810134737166226,0.19893557109340182
High,architecture_C,37,4.2257174880757855,0.6259004587666915
High,architecture_C,38,2.939616834503576,0.4682907258184662
