density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architectureA,35,7.544466229382449,0.8776285188850993
High,architectureA,86,7.794564924444348,0.8917918788338604
High,architectureB,24,13.114148663454785,1.117740102569182
High,architectureB,39,12.148427944614436,1.0845200821193832
High,architectureB,87,11.06092325048497,1.0437913788544375
High,architectureC,49,19.517883167053142,1.290432714011025
High,architectureC,63,15.885822537651666,1.201009706686927
High,architectureC,66,16.163023089396326,1.208522593335458
High,architectureD,61,6.723587842778951,0.8276010832485517
High,architectureD,8,6.704364548622881,0.8263576209490212
High,control,43,9.49412351701059,0.9774548775200258
High,control,57,10.2188672792032,1.0094027586504488
High,control,82,10.93760158180788,1.0389220995127706
High,control,8,11.943264063733826,1.0771230345941956
