density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
Low,architectureA,100,16.89083006679346,1.2276509926479768
Low,architectureB,100,25.61304201290916,1.4084611618719123
Low,architectureC,100,46.40435994694433,1.666558786846779
Low,architectureD,100,26.491932561794226,1.423113640830614
Low,control,100,20.520358435544768,1.3121849424641288
Low,architectureA,10,26.74547251692496,1.4272502750551284
Low,architectureB,10,29.323083014578508,1.467209629878676
Low,architectureC,10,39.21211396701969,1.5934202562115478
Low,architectureD,10,12.229182728245409,1.0873974342666115
Low,control,10,22.703984038487608,1.3561020727927862
Low,architectureA,11,24.47504398426918,1.3887234809494649
Low,architectureB,11,14.768299956977744,1.169330504668923
Low,architectureC,11,35.1768199118146,1.5462565753949922
Low,architectureD,11,14.428608244436782,1.1592244419104392
Low,control,11,23.38849803309201,1.3690023331009733
Low,architectureA,12,28.58781922661283,1.456181027202295
Low,architectureB,12,32.865762887948186,1.516743717680767
Low,architectureC,12,29.581935113426574,1.4710265801272218
Low,architectureD,12,19.96406713997408,1.3002490217466407
Low,control,12,18.130473222855912,1.2584091397487298
Low,architectureA,13,22.165826884991787,1.3456839370741434
Low,architectureB,13,19.13518813715224,1.281832736564458
Low,architectureC,13,42.82690933821645,1.6317167340792738
Low,architectureD,13,14.390304639910642,1.1580699879624379
Low,control,13,25.85807679254504,1.4125962208751908
Low,architectureA,14,18.599226000019367,1.2694948715880916
Low,architectureB,14,35.84421805062436,1.5544191105972642
Low,architectureC,14,30.860918237304958,1.4894088439391133
Low,architectureD,14,19.291236934039805,1.2853600750469665
Low,control,14,26.88803211259403,1.42955901814314
Low,architectureA,15,22.91019370936387,1.3600287612344506
Low,architectureB,15,28.27192242746088,1.451355340546535
Low,architectureC,15,31.221863216182545,1.4944588167392585
Low,architectureD,15,13.43479399019613,1.12823101132691
Low,control,15,19.9802220911418,1.300600311338477
Low,architectureA,16,21.457766049530058,1.3315845059401301
Low,architectureB,16,34.702764626770886,1.5403640746272984
Low,architectureC,16,28.05836627349865,1.4480623801969639
Low,architectureD,16,18.20176164598611,1.2601134229359583
Low,control,16,17.310018253071355,1.2382975258305635
Low,architectureA,17,15.921083124355867,1.2019726098168468
Low,architectureB,17,22.539439548880548,1.3529431129587721
Low,architectureC,17,35.90861068413929,1.5551986024559503
Low,architectureD,17,13.053560375939146,1.115728982228599
Low,control,17,26.657227777978587,1.4258149829125226
Low,architectureA,18,15.795383194577154,1.198530166314082
Low,architectureB,18,26.530330757402893,1.4237426644270896
Low,architectureC,18,42.03173115073944,1.6235772775555337
Low,architectureD,18,13.3275416977955,1.1247500499735286
Low,control,18,16.51141901343584,1.2177843987154073
Low,architectureA,19,25.55726781846069,1.4075144240251496
Low,architectureB,19,16.13756365319353,1.2078379683140545
Low,architectureC,19,40.91294781292945,1.6118607719150788
Low,architectureD,19,18.48347251203912,1.2667835659719917
Low,control,19,22.19544976460642,1.3462639499159086
Low,architectureA,1,18.054904273342903,1.2565951901503194
