density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2],log_absorbedPAR_umol_m2_s1
High,architectureA,1,886.6260329937676,0.0500838277370863,2.947740478846416
High,architectureA,2,898.1425813296262,0.0501017540793971,2.9533452869671892
High,architectureA,3,841.5655630726131,0.0500742857079922,2.925087955809748
High,architectureA,4,864.0562548709179,0.0500663666625938,2.9365420183871107
High,architectureA,5,838.6772740129213,0.050042972926632,2.923594874918609
High,architectureA,6,855.4878866075659,0.0500917213648208,2.932213864471232
High,architectureA,7,790.8100990367806,0.0501071015701694,2.8980722068327585
High,architectureA,8,908.6006753145198,0.0500629079508503,2.9583730552666996
High,architectureA,9,837.8639517074181,0.0501101189859716,2.923173505719237
High,architectureA,10,796.1304416276511,0.0500962270120056,2.9009842303481497
High,architectureA,11,884.8527303933258,0.0500411419761534,2.9468709953309773
High,architectureA,12,832.9754582705995,0.0500899962222625,2.9206322060950645
High,architectureA,13,833.0079995026392,0.0500180917270837,2.9206491720228414
High,architectureA,14,891.8323520816418,0.0501152135715097,2.9502832227519686
High,architectureA,15,738.1222035094146,0.050116859893033,2.868128269568624
High,architectureA,16,838.6831053243163,0.0500322142796903,2.92359789455159
High,architectureA,17,867.1043088482727,0.050088420689756,2.9380713443416866
High,architectureA,18,842.027528567327,0.0500659160288907,2.9253262902044606
High,architectureA,19,873.8241092334439,0.0500686957112988,2.9414240229354665
High,architectureA,20,854.2178690992642,0.0500838775548709,2.9315686520475337
High,architectureA,21,790.4994001082241,0.0500212689933661,2.89790154469228
High,architectureA,22,786.9777241860725,0.0500724863668972,2.8959624396017776
High,architectureA,23,814.6023712467718,0.0500621839903914,2.910945669950678
High,architectureA,24,928.8433092964258,0.0501114841931115,2.9679424571072848
High,architectureA,25,912.3942017869545,0.050100935903115,2.9601825166967504
High,architectureA,26,840.289322943239,0.0500639714326719,2.9244288452565548
High,architectureA,27,885.5081343669947,0.0500465345826629,2.9471925550173115
High,architectureA,28,836.2427312187633,0.0501208377177583,2.9223323558218577
High,architectureA,29,816.6500915883238,0.0501312695996663,2.9120360151084057
High,architectureA,30,856.4779049697735,0.0501371265734826,2.9327161637131147
High,architectureA,31,839.4086505695153,0.0500883720252415,2.923973440542909
High,architectureA,32,823.0218273884115,0.0500663165827716,2.915411353302959
High,architectureA,33,787.6453773704379,0.0500433438524659,2.896330728509625
High,architectureA,34,853.308078785745,0.0500797468045089,2.9311058573816844
High,architectureA,35,835.5834477839456,0.0500605188273592,2.9219898283794836
High,architectureA,36,789.2497456721171,0.0500506389557845,2.897214450617199
High,architectureA,37,873.3334007646464,0.0500838411106007,2.9411800701325785
High,architectureA,38,874.2504733299214,0.0500038908460877,2.9416358761137014
High,architectureA,39,746.3177454170079,0.050137295136166,2.872923768091067
High,architectureA,40,734.5243594637843,0.0500885995000345,2.866006203128699
High,architectureA,41,856.372266003521,0.0500816226071917,2.93266259403031
High,architectureA,42,821.1206396074567,0.0500601268092159,2.9144069686502725
High,architectureA,43,865.801178488394,0.0500905083007795,2.937418172619039
High,architectureA,44,822.938978468563,0.0501070554617852,2.9153676331504204
High,architectureA,45,777.4955869479511,0.0501060483374724,2.8906979326575986
High,architectureA,46,802.5552685586149,0.0501065064040888,2.904474950115569
High,architectureA,47,893.2295166712557,0.0500652245818445,2.9509630658499693
High,architectureA,48,811.2836829001552,0.0500787226611888,2.9091727412340016
High,architectureA,49,865.4683529769743,0.0501568041412125,2.9372511919355584
High,architectureA,50,860.916592540996,0.0500451850017943,2.9349610781042483
