density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2],log_absorbedPAR_umol_m2_s1
Low,architectureA,1,1149.692113056523,0.0458770966707628,7.04724945773488
Low,architectureA,2,1155.2096204155482,0.0458221434543283,7.0520370960259315
Low,architectureA,3,1230.0203547348135,0.0458359609289649,7.114785996794426
Low,architectureA,4,1115.8797039452822,0.0458323973693605,7.017398344967538
Low,architectureA,5,1176.4828331552703,0.0459041860344315,7.070284616607727
Low,architectureA,6,1163.061882074779,0.0458456031593538,7.058811360109805
Low,architectureA,7,1169.569281575432,0.0458998228042566,7.064390824607715
Low,architectureA,8,1199.2686140961478,0.045859120950106,7.089467161709411
Low,architectureA,9,1166.4970358298865,0.045818867497414,7.061760550378004
Low,architectureA,10,1168.0919979325677,0.0459243865434396,7.063126925639571
Low,architectureA,11,1180.8833530642935,0.0458802882064692,7.074018041687054
Low,architectureA,12,1229.3617713931917,0.0458071369166764,7.114250428652845
Low,architectureA,13,1167.735094597234,0.04582247801032,7.062821335093719
Low,architectureA,14,1193.76801879664,0.0458823760884183,7.08486998596093
Low,architectureA,15,1260.5724450444436,0.0458821645957617,7.13932121823662
Low,architectureA,16,1130.542267684036,0.0458679793539304,7.030452679505634
Low,architectureA,17,1176.5372844379465,0.0458498298276718,7.070330898645249
Low,architectureA,18,1247.8673945920712,0.0458393273604056,7.129191288950705
Low,architectureA,19,1189.763942163946,0.0459119643329389,7.081510198498598
Low,architectureA,20,1184.8444608212158,0.0458457529026597,7.077366788263361
Low,architectureA,21,1172.30262004716,0.0458446249090904,7.066725145038315
Low,architectureA,22,1214.225316395065,0.0459211305915749,7.10186155274669
Low,architectureA,23,1219.7499592987158,0.0458314740656291,7.1064011653274
Low,architectureA,24,1162.6503695941497,0.0458539101969032,7.058457479285013
Low,architectureA,25,1163.7115515287403,0.0458586450409656,7.059369789616916
Low,architectureA,26,1183.785986603567,0.0458375853877901,7.076473044548079
Low,architectureA,27,1145.785586907402,0.0459052137558258,7.043845782830429
Low,architectureA,28,1168.6285653180555,0.0458722007299071,7.063586173872634
Low,architectureA,29,1137.5356393640077,0.0459326113863238,7.036619481643308
Low,architectureA,30,1167.287169256147,0.0458678485087549,7.0624376767847465
Low,architectureA,31,1152.3653035481068,0.0458673062282437,7.049571894763459
Low,architectureA,32,1222.70172098457,0.0458158036437775,7.108818214677223
Low,architectureA,33,1138.729554335223,0.0458981094589695,7.03766849393239
Low,architectureA,34,1190.8187977915718,0.0458231340917461,7.082396414868195
Low,architectureA,35,1157.603652916594,0.0458485956900056,7.054107330907142
Low,architectureA,36,1121.17651423396,0.0458367537062826,7.022133872080482
Low,architectureA,37,1172.354696087404,0.045872586924604,7.066769566062995
Low,architectureA,38,1249.067661259876,0.0458833817743457,7.130152681004087
Low,architectureA,39,1146.7242011446997,0.0458635334496957,7.04466463585748
Low,architectureA,40,1141.8613178912128,0.0458725311115784,7.040414944918142
Low,architectureA,41,1202.7709237205468,0.045869073136398,7.092383276994902
Low,architectureA,42,1163.830350997791,0.0458531759635666,7.059471871103849
Low,architectureA,43,1208.9653069046965,0.0458750875809098,7.0975201545080235
Low,architectureA,44,1159.372685745245,0.0458638403265218,7.055634349671108
Low,architectureA,45,1139.3191115295942,0.0458421999608611,7.038186092363334
Low,architectureA,46,1144.0933218437835,0.0458568860251682,7.042367743650953
Low,architectureA,47,1159.2430417802773,0.0458780385290975,7.05552252090745
Low,architectureA,48,1201.981930181021,0.0459009732296845,7.091727081854884
Low,architectureA,50,1213.6354742681967,0.0458294584326389,7.101375658217035
Low,architectureA,51,1162.974487292622,0.0458270193961775,7.058736215298357
Low,architectureA,52,1195.356897968139,0.045802621138015,7.086200079163338
Low,architectureA,53,1240.0348878475295,0.0458623599688166,7.1228947935642015
Low,architectureA,54,1121.375516356312,0.0458754851024861,7.022311350346457
Low,architectureA,55,1198.0841882926895,0.0458833768566964,7.088479050240255
Low,architectureA,56,1223.5504970703605,0.0458703166407915,7.10951215466721
Low,architectureA,57,1129.888021669813,0.0458617948122821,7.0298738109286445
Low,architectureA,58,1182.9767696137185,0.0458271122057431,7.075789226941725
Low,architectureA,59,1185.2206286820187,0.0459016332323809,7.077684220780829
Low,architectureA,60,1155.074824671396,0.0457890803110528,7.051920404122827
Low,architectureA,61,1164.8393602885124,0.0458544256278522,7.060338468327987
Low,architectureA,62,1207.3428043890665,0.0458898347953692,7.096177194351658
Low,architectureA,63,1165.4942004608824,0.0458396734534371,7.060900482453893
Low,architectureA,64,1218.4899088214654,0.0458535459003088,7.1053675913908085
Low,architectureA,65,1154.8494139731995,0.0458355034715264,7.051725236943626
Low,architectureA,66,1110.58946429645,0.0459086616826759,7.012646202265526
Low,architectureA,67,1143.8542403813562,0.0458803750214787,7.042158751568053
Low,architectureA,68,1225.2783920399404,0.0458810876643984,7.110923355967571
Low,architectureA,69,1159.6420869781782,0.0458824322482217,7.055866690781922
Low,architectureA,70,1196.546346634804,0.0457992951389197,7.087194641771499
Low,architectureA,71,1172.422088063185,0.0458539401369979,7.066827048699513
Low,architectureA,72,1157.134963558569,0.0458215217100783,7.053702369965898
