group1,group2,meandiff,p-adj,lower,upper,reject
architectureA,architectureB,0.1098,0.0,0.0452,0.1744,True
architectureA,architectureC,0.3679,0.0,0.3033,0.4325,True
architectureA,architectureD,-0.1841,0.0,-0.2485,-0.1197,True
architectureA,control,0.0988,0.0003,0.0341,0.1636,True
architectureB,architectureC,0.2581,0.0,0.1933,0.3228,True
architectureB,architectureD,-0.294,0.0,-0.3585,-0.2294,True
architectureB,control,-0.011,0.9904,-0.0759,0.0539,False
architectureC,architectureD,-0.552,0.0,-0.6166,-0.4874,True
architectureC,control,-0.2691,0.0,-0.334,-0.2042,True
architectureD,control,0.2829,0.0,0.2182,0.3477,True
