group1,group2,meandiff,p-adj,lower,upper,reject
architectureA,architectureB,0.0512,0.003,0.0125,0.0899,True
architectureA,architectureC,0.2612,0.0,0.2225,0.2999,True
architectureA,architectureD,-0.0941,0.0,-0.1331,-0.0551,True
architectureA,control,0.055,0.001,0.0164,0.0937,True
architectureB,architectureC,0.21,0.0,0.1716,0.2484,True
architectureB,architectureD,-0.1453,0.0,-0.184,-0.1066,True
architectureB,control,0.0039,0.9987,-0.0345,0.0422,False
architectureC,architectureD,-0.3553,0.0,-0.394,-0.3166,True
architectureC,control,-0.2061,0.0,-0.2445,-0.1677,True
architectureD,control,0.1492,0.0,0.1105,0.1878,True
