group1,group2,meandiff,p-adj,lower,upper,reject
architectureA,architectureB,0.0244,0.0,0.0147,0.0342,True
architectureA,architectureC,-0.0239,0.0,-0.0336,-0.0142,True
architectureA,architectureD,0.0402,0.0,0.0305,0.0499,True
architectureA,control,-0.0119,0.0078,-0.0216,-0.0022,True
architectureB,architectureC,-0.0484,0.0,-0.0581,-0.0387,True
architectureB,architectureD,0.0157,0.0001,0.0061,0.0254,True
architectureB,control,-0.0363,0.0,-0.046,-0.0266,True
architectureC,architectureD,0.0641,0.0,0.0544,0.0738,True
architectureC,control,0.012,0.0066,0.0023,0.0217,True
architectureD,control,-0.0521,0.0,-0.0618,-0.0424,True
