Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.32009998,0.004042135611804359,1.0938518297291324,270.61235316665943,0.0
2,0.28284273,0.07071068,0.32009998,0.005716443181545683,1.5623341035946203,273.30527987023163,0.0
3,0.4242641,0.07071068,0.32009998,0.004042135611804359,1.1043732879800796,273.2152985552855,0.0
4,0.56568545,0.14142136,0.32009998,0.004042135611804359,1.119065784950278,276.85013379616447,0.0
5,0.70710677,0.21213204,0.32009998,0.005716443181545683,1.5665436981627843,274.0416808864709,0.0
6,0.8485281,0.21213204,0.32009998,0.004042135611804359,1.1009288967914963,272.3631769246988,0.0
7,0.9899494,0.28284273,0.32009998,0.004042135611804359,1.0953226613189293,270.97622804149086,0.0
Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.32009998,0.004042135611804359,1.2177656570605468,301.2678875751403,0.0
2,0.28284273,0.07071068,0.32009998,0.005716443181545683,1.7384998709106445,304.1226538423439,0.0
3,0.4242641,0.07071068,0.32009998,0.004042135611804359,1.2299636724902345,304.2856031099842,0.0
4,0.56568545,0.14142136,0.32009998,0.004042135611804359,1.2447520167285158,307.94415038759024,0.0
5,0.70710677,0.21213204,0.32009998,0.005716443181545683,1.739751543635254,304.3416138992985,0.0
6,0.8485281,0.21213204,0.32009998,0.004042135611804359,1.2240419239135742,302.82059818551636,0.0
7,0.9899494,0.28284273,0.32009998,0.004042135611804359,1.2196509476770019,301.7342971164109,0.0
