density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2]
Low,architectureA,1,1149.6921130565233,0.0458770966707628
Low,architectureA,2,1155.2096204155482,0.0458221434543283
Low,architectureA,3,1230.0203547348135,0.0458359609289649
Low,architectureA,4,1115.8797039452822,0.0458323973693605
Low,architectureA,5,1176.4828331552703,0.0459041860344315
Low,architectureA,6,1163.061882074779,0.0458456031593538
Low,architectureA,7,1169.569281575432,0.0458998228042566
Low,architectureA,8,1199.2686140961478,0.045859120950106
Low,architectureA,9,1166.4970358298865,0.045818867497414
Low,architectureA,10,1168.0919979325677,0.0459243865434396
Low,architectureA,11,1180.8833530642937,0.0458802882064692
Low,architectureA,12,1229.3617713931915,0.0458071369166764
Low,architectureA,13,1167.7350945972341,0.04582247801032
Low,architectureA,14,1193.76801879664,0.0458823760884183
Low,architectureA,15,1260.5724450444436,0.0458821645957617
Low,architectureA,16,1130.542267684036,0.0458679793539304
Low,architectureA,17,1176.5372844379465,0.0458498298276718
Low,architectureA,18,1247.8673945920712,0.0458393273604056
Low,architectureA,19,1189.763942163946,0.0459119643329389
Low,architectureA,20,1184.8444608212158,0.0458457529026597
Low,architectureA,21,1172.30262004716,0.0458446249090904
Low,architectureA,22,1214.225316395065,0.0459211305915749
Low,architectureA,23,1219.7499592987158,0.0458314740656291
Low,architectureA,24,1162.6503695941497,0.0458539101969032
Low,architectureA,25,1163.7115515287403,0.0458586450409656
Low,architectureA,26,1183.785986603567,0.0458375853877901
Low,architectureA,27,1145.785586907402,0.0459052137558258
Low,architectureA,28,1168.6285653180555,0.0458722007299071
Low,architectureA,29,1137.5356393640077,0.0459326113863238
Low,architectureA,30,1167.287169256147,0.0458678485087549
Low,architectureA,31,1152.3653035481068,0.045867306228243795
Low,architectureA,32,1222.70172098457,0.0458158036437775
Low,architectureA,33,1138.729554335223,0.0458981094589695
Low,architectureA,34,1190.8187977915718,0.045823134091746195
Low,architectureA,35,1157.603652916594,0.0458485956900056
Low,architectureA,36,1121.17651423396,0.0458367537062826
Low,architectureA,37,1172.3546960874041,0.045872586924604004
Low,architectureA,38,1249.067661259876,0.0458833817743457
Low,architectureA,39,1146.7242011446995,0.0458635334496957
Low,architectureA,40,1141.8613178912128,0.0458725311115784
Low,architectureA,41,1202.7709237205468,0.045869073136398
Low,architectureA,42,1163.830350997791,0.0458531759635666
Low,architectureA,43,1208.9653069046965,0.0458750875809098
Low,architectureA,44,1159.372685745245,0.0458638403265218
Low,architectureA,45,1139.3191115295942,0.045842199960861196
Low,architectureA,46,1144.0933218437835,0.0458568860251682
Low,architectureA,47,1159.2430417802773,0.0458780385290975
Low,architectureA,48,1201.981930181021,0.045900973229684595
Low,architectureA,49,1295.4722348168839,0.0458514767132917
Low,architectureA,50,1213.6354742681967,0.0458294584326389
Low,architectureA,51,1162.9744872926221,0.0458270193961775
Low,architectureA,52,1195.356897968139,0.045802621138015
Low,architectureA,53,1240.0348878475297,0.0458623599688166
Low,architectureA,54,1121.375516356312,0.045875485102486104
Low,architectureA,55,1198.0841882926895,0.045883376856696495
Low,architectureA,56,1223.5504970703605,0.0458703166407915
Low,architectureA,57,1129.888021669813,0.0458617948122821
Low,architectureA,58,1182.9767696137185,0.045827112205743196
Low,architectureA,59,1185.2206286820187,0.0459016332323809
Low,architectureA,60,1155.074824671396,0.045789080311052804
Low,architectureA,61,1164.8393602885124,0.045854425627852295
Low,architectureA,62,1207.3428043890665,0.045889834795369296
Low,architectureA,63,1165.4942004608824,0.0458396734534371
Low,architectureA,64,1218.4899088214654,0.0458535459003088
Low,architectureA,65,1154.8494139731997,0.0458355034715264
Low,architectureA,66,1110.58946429645,0.045908661682675996
Low,architectureA,67,1143.8542403813562,0.0458803750214787
Low,architectureA,68,1225.2783920399404,0.0458810876643984
Low,architectureA,69,1159.6420869781782,0.0458824322482217
Low,architectureA,70,1196.546346634804,0.0457992951389197
Low,architectureA,71,1172.4220880631847,0.0458539401369979
Low,architectureA,72,1157.134963558569,0.0458215217100783
Low,architectureA,73,1109.0731579036728,0.0459232398177528
Low,architectureA,74,1182.8257053562036,0.0458762317249287
Low,architectureA,75,1209.797944659846,0.0458657207826571
Low,architectureA,76,1108.315544667761,0.0458461993460883
Low,architectureA,77,1126.8397131988263,0.0457861484734567
Low,architectureA,78,1186.3168239639508,0.0458729498435958
Low,architectureA,79,1175.4391566746044,0.0458822633432655
Low,architectureA,80,1217.4352817024162,0.0457863820916372
Low,architectureA,81,1181.4242454633468,0.0458746016977683
Low,architectureA,82,1166.8447990403636,0.0458571411817602
Low,architectureA,83,1143.7802650172562,0.0458222303469615
Low,architectureA,84,1154.4003177264121,0.0458507630426408
Low,architectureA,85,1183.3077544474402,0.0458631575834487
Low,architectureA,86,1190.1915724197881,0.045829694557477804
Low,architectureA,87,1107.4837078648823,0.0458390136686769
Low,architectureA,88,1215.456654229642,0.0458598005645185
Low,architectureA,89,1218.1405695468125,0.0458378990886178
Low,architectureA,90,1272.1366116878282,0.0458440671659425
Low,architectureA,91,1190.1096504954207,0.0458777798220275
Low,architectureA,92,1164.5453703334629,0.0458260625627661
Low,architectureA,93,1137.4353413131169,0.0458181450224216
Low,architectureA,94,1135.8329944016482,0.0458905536956334
Low,architectureA,95,1187.819385196983,0.0457816182744235
Low,architectureA,96,1295.2468500554783,0.045926427275635597
Low,architectureA,97,1169.1302428760139,0.0458231109443794
Low,architectureA,98,1141.6425768167146,0.0458580240618945
Low,architectureA,99,1222.8536527658785,0.0458340306911775
Low,architectureA,100,1108.9247759497064,0.0458275593724755
Low,architectureB,1,1251.6165975579452,0.0458326868749499
Low,architectureB,2,1208.1559269170855,0.0458418514760987
Low,architectureB,3,1286.6564013254474,0.0458968239172356
Low,architectureB,4,1320.7751681781497,0.0458747681692511
Low,architectureB,5,1216.0617537122034,0.045787567396239404
